protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,initial_trials_to_criterion,initial_trials_for_savings,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,forgetting_score,criterion_score,score_drop,criterion_forget,made_forget,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,relearn_trials,relearn_measured,relearn_score,relearn_reached_criterion,relearn_savings,relearn_elapsed_s,replicates,task_output_dir
b2_static_shared_3s_50uA,conditioned_electrode_association,2.0,static,shared,3.0,50.0,160,690.74,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.9825,1.0,-0.0175,0.0175,0.4,0.14,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,37.76422778451431,0.0,37.76422778451431,-0.2729536065515879,1.8572408055916867e-11,0.8350027330608212,1.0,-0.0611718250433107,235903.78,0.0,0.0,1.0,0.9825,1.0,1.0,0.205056626680016,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b-2_alternating_blue_red_shared_3s_50uA,conditioned_electrode_association,-2.0,alternating_blue_red,shared,3.0,50.0,160,971.36,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.9875,1.0,-0.0125,0.0125,0.4,0.1,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,53.204910261437135,0.0,53.204910261437135,-0.4626666384170479,1.8572408055916867e-11,0.7393899793984161,1.0,-0.0788011697962107,367786.04,0.0,0.0,1.0,0.9875,1.0,1.0,0.2069735674597905,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b0_alternating_blue_red_shared_3s_50uA,conditioned_electrode_association,0.0,alternating_blue_red,shared,3.0,50.0,160,971.36,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.9875,1.0,-0.0125,0.0125,0.4,0.1,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,53.204910261437135,0.0,53.204910261437135,-0.4626666384170479,1.8572408055916867e-11,0.7393899793984161,1.0,-0.0788011697962107,367786.04,0.0,0.0,1.0,0.9875,1.0,1.0,0.2052527141798054,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b2_alternating_blue_red_shared_3s_50uA,conditioned_electrode_association,2.0,alternating_blue_red,shared,3.0,50.0,160,971.36,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.9875,1.0,-0.0125,0.0125,0.4,0.1,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,53.204910261437135,0.0,53.204910261437135,-0.4626666384170479,1.8572408055916867e-11,0.7393899793984161,1.0,-0.0788011697962107,367786.04,0.0,0.0,1.0,0.9875,1.0,1.0,0.205207891639875,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b-2_static_correlated_3s_50uA,conditioned_electrode_association,-2.0,static,correlated,3.0,50.0,160,893.08,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.9875,1.0,-0.0125,0.0125,0.4,0.1,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,48.23962730503741,0.0,48.23962730503741,-0.3913285459883986,1.8572408055916867e-11,0.7660430135338727,1.0,-0.0651602635254932,269232.54,0.0,0.0,1.0,0.9875,1.0,1.0,0.2069261625596846,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b2_epoch_pause_shared_3s_50uA,conditioned_electrode_association,2.0,epoch_pause,shared,3.0,50.0,160,498.12,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.9875,1.0,-0.0125,0.0125,0.4,0.1,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,28.634617740376303,0.0,28.634617740376303,-0.1731410411359452,1.8572408055916867e-11,0.8917164401199372,1.0,-0.0452653053283524,160250.2,0.0,0.0,1.0,0.9875,1.0,1.0,0.2051120125401939,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b-2_alternating_blue_red_correlated_3s_50uA,conditioned_electrode_association,-2.0,alternating_blue_red,correlated,3.0,50.0,160,566.22,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.99,1.0,-0.01,0.01,0.4,0.08,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,32.01706946384997,0.0,32.01706946384997,-0.2011676758030862,1.8572408055916867e-11,0.869247246671239,1.0,-0.0435585855325266,149516.26,0.0,0.0,1.0,0.99,1.0,1.0,0.2062645283198799,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b0_alternating_blue_red_correlated_3s_50uA,conditioned_electrode_association,0.0,alternating_blue_red,correlated,3.0,50.0,160,566.22,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.99,1.0,-0.01,0.01,0.4,0.08,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,32.01706946384997,0.0,32.01706946384997,-0.2011676758030862,1.8572408055916867e-11,0.869247246671239,1.0,-0.0435585855325266,149516.26,0.0,0.0,1.0,0.99,1.0,1.0,0.2053673824606812,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b2_alternating_blue_red_correlated_3s_50uA,conditioned_electrode_association,2.0,alternating_blue_red,correlated,3.0,50.0,160,566.22,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.99,1.0,-0.01,0.01,0.4,0.08,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,32.01706946384997,0.0,32.01706946384997,-0.2011676758030862,1.8572408055916867e-11,0.869247246671239,1.0,-0.0435585855325266,149516.26,0.0,0.0,1.0,0.99,1.0,1.0,0.2050256367000111,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b-2_epoch_pause_correlated_3s_50uA,conditioned_electrode_association,-2.0,epoch_pause,correlated,3.0,50.0,160,640.44,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.9925,1.0,-0.0075,0.0075,0.4,0.06,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,36.34432458169379,0.0,36.34432458169379,-0.2491804099927576,1.8572408055916867e-11,0.8423905762915845,1.0,-0.0518681800776404,186459.1,0.0,0.0,1.0,0.9925,1.0,1.0,0.2069185242003004,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
