protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,initial_trials_to_criterion,initial_trials_for_savings,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,forgetting_score,criterion_score,score_drop,criterion_forget,made_forget,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,relearn_trials,relearn_measured,relearn_score,relearn_reached_criterion,relearn_savings,relearn_elapsed_s,replicates
b-2_chirp_shared_3s_50uA,xor_electrode_classification,-2.0,chirp,shared,3.0,50.0,160,3960.0,-0.2,0.6,0.8,80.0,12.0,12.0,1.0,0.525,0.6,-0.07499999999999996,0.07499999999999996,0.25,1.0,0.0,0.0,-0.2,-0.8,-0.8,102.73032324740001,102.73032324740001,315.0863149607998,0.0,315.0863149607998,-2.197522864985771,9.734213435308448e-12,0.2568558863130329,1.0,0.09153887634454423,2409100.0,0.0,0.0,1.0,0.525,1.0,1.0,2.4690409769998496,1
b0_chirp_shared_3s_50uA,xor_electrode_classification,0.0,chirp,shared,3.0,50.0,160,2668.0,-0.2,0.6,0.8,80.0,12.0,12.0,1.0,0.525,0.6,-0.07499999999999996,0.07499999999999996,0.25,1.0,0.0,0.0,-0.2,-0.8,-0.8,102.73032324740001,102.73032324740001,251.633094612269,0.0,251.633094612269,-1.62613857966836,9.734213435308448e-12,0.34140789155622014,1.0,0.05160798776054773,1513806.0,0.0,0.0,1.0,0.525,1.0,1.0,2.18029350300003,1
b-2_chirp_correlated_3s_50uA,xor_electrode_classification,-2.0,chirp,correlated,3.0,50.0,160,2230.0,-0.2,0.6,0.8,80.0,12.0,12.0,1.0,0.525,0.6,-0.07499999999999996,0.07499999999999996,0.25,1.0,0.0,0.0,-0.2,-0.8,-0.8,102.73032324740001,102.73032324740001,214.45934187225703,0.0,214.45934187225703,-1.3006587646907208,9.734213435308448e-12,0.4050200409251458,1.0,0.03251173094352835,1190042.0,0.0,0.0,1.0,0.525,1.0,1.0,2.23237527099991,1
b-2_epoch_pause_shared_3s_50uA,xor_electrode_classification,-2.0,epoch_pause,shared,3.0,50.0,160,1232.0,-0.2,0.6,0.8,80.0,12.0,12.0,1.0,0.525,0.6,-0.07499999999999996,0.07499999999999996,0.25,1.0,0.0,0.0,-0.2,-0.8,-0.8,102.73032324740001,102.73032324740001,96.81541026549645,0.0,96.81541026549645,-0.3665229905845979,9.734213435308448e-12,0.7189700364336157,1.0,0.010387929513936115,610554.0,0.0,0.0,1.0,0.525,1.0,1.0,2.142400275,1
b0_chirp_correlated_3s_50uA,xor_electrode_classification,0.0,chirp,correlated,3.0,50.0,160,1427.0,-0.2,0.6,0.8,80.0,12.0,12.0,1.0,0.525,0.6,-0.07499999999999996,0.07499999999999996,0.25,1.0,0.0,0.0,-0.2,-0.8,-0.8,102.73032324740001,102.73032324740001,95.53421573758558,0.0,95.53421573758558,-0.3579241496452339,9.734213435308448e-12,0.7235824334754445,1.0,0.010425875778047518,596972.0,0.0,0.0,1.0,0.525,1.0,1.0,2.2027764080000907,1
b2_chirp_correlated_3s_50uA,xor_electrode_classification,2.0,chirp,correlated,3.0,50.0,160,976.0,-0.2,0.6,0.8,80.0,12.0,12.0,1.0,0.525,0.6,-0.07499999999999996,0.07499999999999996,0.25,1.0,0.0,0.0,-0.2,-0.8,-0.8,102.73032324740001,102.73032324740001,66.30443052427172,0.0,66.30443052427172,-0.1953790417825243,9.734213435308448e-12,0.8389496476541707,1.0,-0.006180623132091081,388125.0,0.0,0.0,1.0,0.525,1.0,1.0,2.1482661050004026,1
b0_epoch_pause_correlated_3s_50uA,xor_electrode_classification,0.0,epoch_pause,correlated,3.0,50.0,160,389.0,-0.2,0.6,0.8,80.0,12.0,12.0,1.0,0.575,0.6,-0.025000000000000022,0.025000000000000022,0.25,1.0,0.0,0.0,-0.2,-0.8,-0.8,102.73032324740001,102.73032324740001,25.085041341150905,0.0,25.085041341150905,-0.027926997886489557,9.734213435308448e-12,0.9710197715471098,1.0,0.0014958140216869641,95087.0,0.0,0.0,1.0,0.575,1.0,1.0,2.112550591000172,1
b-2_chirp_shared_3s_10uA,xor_electrode_classification,-2.0,chirp,shared,3.0,10.0,160,3960.0,-0.2,0.6,0.8,80.0,12.0,12.0,1.0,0.575,0.6,-0.025000000000000022,0.025000000000000022,0.25,1.0,0.0,0.0,-0.2,-0.8,-0.8,102.73032324740001,102.73032324740001,18.583333606978808,0.0,18.583333606978808,-0.013722891018164818,9.734213435308448e-12,0.9838416429883441,1.0,0.0025443304944122048,55836.0,0.0,0.0,1.0,0.575,1.0,1.0,2.088298035000207,1
b2_chirp_shared_3s_50uA,xor_electrode_classification,2.0,chirp,shared,3.0,50.0,160,1552.0,-0.2,0.6,0.8,80.0,12.0,12.0,1.0,0.6,0.6,0.0,0.0,0.25,0.0,0.0,0.0,-0.2,-0.8,-0.8,102.73032324740001,102.73032324740001,139.6325743157446,0.0,139.6325743157446,-0.6813282261903029,9.734213435308448e-12,0.5801648947961712,1.0,0.01030011495309972,794469.0,0.0,0.0,1.0,0.6,1.0,1.0,2.166247526999996,1
b0_gated_burst_shared_3s_50uA,xor_electrode_classification,0.0,gated_burst,shared,3.0,50.0,160,1018.0,-0.2,0.6,0.8,80.0,12.0,12.0,1.0,0.6,0.6,0.0,0.0,0.25,0.0,0.0,0.0,-0.2,-0.8,-0.8,102.73032324740001,102.73032324740001,135.06884047503712,0.0,135.06884047503712,-0.6498019386526319,9.734213435308448e-12,0.5973506819615695,1.0,0.003413649862027087,623038.0,0.0,0.0,1.0,0.6,1.0,1.0,2.0843646889998126,1
