protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,initial_trials_to_criterion,initial_trials_for_savings,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,forgetting_score,criterion_score,score_drop,criterion_forget,made_forget,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,relearn_trials,relearn_measured,relearn_score,relearn_reached_criterion,relearn_savings,relearn_elapsed_s,replicates
b-2_chirp_shared_3s_50uA,overlapping_shared_input_association,-2.0,chirp,shared,3.0,50.0,160,3595.0,-0.25,0.75,1.0,80.0,12.0,12.0,1.0,0.65625,0.75,-0.09375,0.09375,0.25,1.0,0.0,0.0,-0.25,-1.0,-1.0,97.54525402650967,97.54525402650967,304.05302252975764,0.0,304.05302252975764,-2.249340384531931,1.0251688387086233e-11,0.2578244802356261,1.0,0.07888073335647607,2141180.0,0.0,0.0,1.0,0.65625,1.0,1.0,1.5303168519999986,1
b0_chirp_shared_3s_50uA,overlapping_shared_input_association,0.0,chirp,shared,3.0,50.0,160,2623.0,-0.25,0.75,1.0,80.0,12.0,12.0,1.0,0.65625,0.75,-0.09375,0.09375,0.25,1.0,0.0,0.0,-0.25,-1.0,-1.0,97.54525402650967,97.54525402650967,249.96907362605387,0.0,249.96907362605387,-1.7341733258466943,1.0251688387086233e-11,0.32961312484606275,1.0,0.04559713232567093,1477588.0,0.0,0.0,1.0,0.65625,1.0,1.0,1.4025464250000823,1
b-2_chirp_correlated_3s_50uA,overlapping_shared_input_association,-2.0,chirp,correlated,3.0,50.0,160,2098.0,-0.25,0.75,1.0,80.0,12.0,12.0,1.0,0.65625,0.75,-0.09375,0.09375,0.25,1.0,0.0,0.0,-0.25,-1.0,-1.0,97.54525402650967,97.54525402650967,201.71606680103218,0.0,201.71606680103218,-1.2864690358769764,1.0251688387086233e-11,0.41231689203177435,1.0,0.024182281027554632,1080098.0,0.0,0.0,1.0,0.65625,1.0,1.0,1.3969202689999634,1
b-2_static_shared_3s_50uA,overlapping_shared_input_association,-2.0,static,shared,3.0,50.0,160,1559.0,-0.25,0.75,1.0,80.0,12.0,12.0,1.0,0.65625,0.75,-0.09375,0.09375,0.25,1.0,0.0,0.0,-0.25,-1.0,-1.0,97.54525402650967,97.54525402650967,117.49908986484778,0.0,117.49908986484778,-0.5624924383667229,1.0251688387086233e-11,0.6299353478816695,1.0,0.004790823457725951,739766.0,0.0,0.0,1.0,0.65625,1.0,1.0,1.3649435719999872,1
b0_chirp_correlated_3s_50uA,overlapping_shared_input_association,0.0,chirp,correlated,3.0,50.0,160,1437.0,-0.25,0.75,1.0,80.0,12.0,12.0,1.0,0.65625,0.75,-0.09375,0.09375,0.25,1.0,0.0,0.0,-0.25,-1.0,-1.0,97.54525402650967,97.54525402650967,107.46632274188285,0.0,107.46632274188285,-0.4869557274403389,1.0251688387086233e-11,0.6654788171098732,1.0,0.0013608683016453323,631256.0,0.0,0.0,1.0,0.65625,1.0,1.0,1.4138480139999956,1
b2_chirp_correlated_3s_50uA,overlapping_shared_input_association,2.0,chirp,correlated,3.0,50.0,160,992.0,-0.25,0.75,1.0,80.0,12.0,12.0,1.0,0.65625,0.75,-0.09375,0.09375,0.25,1.0,0.0,0.0,-0.25,-1.0,-1.0,97.54525402650967,97.54525402650967,66.11099499224663,0.0,66.11099499224663,-0.21498277124466925,1.0251688387086233e-11,0.8271847531497344,1.0,-0.008421126809744266,383934.0,0.0,0.0,1.0,0.65625,1.0,1.0,1.3134809919999952,1
b-2_static_correlated_3s_50uA,overlapping_shared_input_association,-2.0,static,correlated,3.0,50.0,160,908.0,-0.25,0.75,1.0,80.0,12.0,12.0,1.0,0.65625,0.75,-0.09375,0.09375,0.25,1.0,0.0,0.0,-0.25,-1.0,-1.0,97.54525402650967,97.54525402650967,51.61858972791686,0.0,51.61858972791686,-0.13474281264614252,1.0251688387086233e-11,0.8828429941951789,1.0,-0.0038071015211825674,292079.0,0.0,0.0,1.0,0.65625,1.0,1.0,1.3199364809999565,1
b2_static_shared_3s_50uA,overlapping_shared_input_association,2.0,static,shared,3.0,50.0,160,621.0,-0.25,0.75,1.0,80.0,12.0,12.0,1.0,0.65625,0.75,-0.09375,0.09375,0.25,1.0,0.0,0.0,-0.25,-1.0,-1.0,97.54525402650967,97.54525402650967,34.67960310348454,0.0,34.67960310348454,-0.06815869741317804,1.0251688387086233e-11,0.9421866269354754,1.0,-0.007283120382035399,192401.0,0.0,0.0,1.0,0.65625,1.0,1.0,1.325451553999983,1
b0_static_shared_3s_50uA,overlapping_shared_input_association,0.0,static,shared,3.0,50.0,160,1020.0,-0.25,0.75,1.0,80.0,12.0,12.0,1.0,0.6875,0.75,-0.0625,0.0625,0.25,1.0,0.0,0.0,-0.25,-1.0,-1.0,97.54525402650967,97.54525402650967,55.7821296326871,0.0,55.7821296326871,-0.1541185472019706,1.0251688387086233e-11,0.867353583455159,1.0,-0.002483463062821848,364450.0,0.0,0.0,1.0,0.6875,1.0,1.0,1.3389807789999963,1
b-2_alternating_blue_red_correlated_3s_50uA,overlapping_shared_input_association,-2.0,alternating_blue_red,correlated,3.0,50.0,160,539.0,-0.25,0.75,1.0,80.0,12.0,12.0,1.0,0.6875,0.75,-0.0625,0.0625,0.25,1.0,0.0,0.0,-0.25,-1.0,-1.0,97.54525402650967,97.54525402650967,31.95006445792565,0.0,31.95006445792565,-0.05397937738517555,1.0251688387086233e-11,0.9498438162867473,1.0,-0.001794729421746173,142451.0,0.0,0.0,1.0,0.6875,1.0,1.0,1.3026022749999697,1
