protocol_id,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,weight_erasure,residual_performance,savings,trace_auc_proxy,criticality_distance,health,energy_cost,path_erasure,replicates,reset_score
b2_epoch_pause_independent_0.75s_0.8uA,2.0,epoch_pause,independent,0.75,0.8,160,23,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.004778666666666666,-0.4372483638233799,3,-0.46479963952049347
b1_epoch_pause_independent_0.75s_0.8uA,1.0,epoch_pause,independent,0.75,0.8,160,33,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.006741333333333333,-0.4372483638233799,3,-0.4648977728538268
b2_static_independent_0.75s_0.8uA,2.0,static,independent,0.75,0.8,160,33,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.006997333333333332,-0.4372483638233799,3,-0.46491057285382675
b0_epoch_pause_independent_0.75s_0.8uA,0.0,epoch_pause,independent,0.75,0.8,160,38,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.008021333333333333,-0.4372483638233799,3,-0.4649617728538268
b2_epoch_pause_independent_0.75s_1.6uA,2.0,epoch_pause,independent,0.75,1.6,160,23,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.009557333333333333,-0.4372483638233799,3,-0.46503857285382677
b1_static_independent_0.75s_0.8uA,1.0,static,independent,0.75,0.8,160,44,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.009557333333333333,-0.4372483638233799,3,-0.46503857285382677
b-1_epoch_pause_independent_0.75s_0.8uA,-1.0,epoch_pause,independent,0.75,0.8,160,47,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.010154666666666666,-0.4372483638233799,3,-0.4650684395204934
b0_alternating_blue_red_independent_0.75s_0.8uA,0.0,alternating_blue_red,independent,0.75,0.8,160,49,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.010581333333333331,-0.4372483638233799,3,-0.4650897728538268
b1_alternating_blue_red_independent_0.75s_0.8uA,1.0,alternating_blue_red,independent,0.75,0.8,160,49,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.010581333333333331,-0.4372483638233799,3,-0.4650897728538268
b2_alternating_blue_red_independent_0.75s_0.8uA,2.0,alternating_blue_red,independent,0.75,0.8,160,49,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.010581333333333331,-0.4372483638233799,3,-0.4650897728538268
b-1_alternating_blue_red_independent_0.75s_0.8uA,-1.0,alternating_blue_red,independent,0.75,0.8,160,49,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.010581333333333331,-0.4372483638233799,3,-0.4650897728538268
b-2_alternating_blue_red_independent_0.75s_0.8uA,-2.0,alternating_blue_red,independent,0.75,0.8,160,49,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.010581333333333331,-0.4372483638233799,3,-0.4650897728538268
