protocol_id,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,weight_erasure,residual_performance,savings,trace_auc_proxy,criticality_distance,health,energy_cost,path_erasure,replicates,reset_score
b2_epoch_pause_independent_0.75s_0.8uA,2.0,epoch_pause,independent,0.75,0.8,160,23,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.004778666666666666,-0.4372483638233799,3,-0.46479963952049347
b2_epoch_pause_independent_1.5s_0.8uA,2.0,epoch_pause,independent,1.5,0.8,160,44,-0.8536604004670475,0.6666666666666666,-0.611111111056713,0.5341831381030694,0.04655482567313318,0.10026749873286413,0.009642666666666666,-0.8536857085272352,3,-2.6960835353688326
b2_epoch_pause_independent_3s_0.8uA,2.0,epoch_pause,independent,3.0,0.8,160,77,-1.8657996293277421,0.4583333333333333,-0.4444444444004631,0.5325066827554111,0.04442465096910333,0.09959368652975532,0.018773333333333333,-1.8657062864891356,3,-5.647962618905317
