task,seed,direction,alpha,score,criterion,distance_from_naive,distance_from_trained
overlapping_shared_input_association,31,random,0.9333,0.75,0.25,120.55178099002013,83.2559674067872
overlapping_shared_input_association,31,axis,1.0,-0.25,0.25,4.790410532131587e-15,95.62754120387402
overlapping_shared_input_association,31,random,1.0,0.75,0.25,123.67096798287287,88.37960980930941
overlapping_shared_input_association,10,axis,0.0,0.75,0.25,99.57817985205533,0.0
overlapping_shared_input_association,10,random,0.0,0.75,0.25,99.57817985205533,0.0
overlapping_shared_input_association,10,axis,0.0667,0.75,0.25,92.93631525592325,6.641864596132091
overlapping_shared_input_association,10,random,0.0667,0.75,0.25,99.25628738244706,6.601748252159957
overlapping_shared_input_association,10,axis,0.1333,0.75,0.25,86.30440847777635,13.273771374278976
overlapping_shared_input_association,10,random,0.1333,0.75,0.25,99.337778380999,13.186987329440402
overlapping_shared_input_association,10,axis,0.2,0.75,0.25,79.66254388164427,19.915635970411067
overlapping_shared_input_association,10,random,0.2,0.75,0.25,99.83857862318057,19.781637230668665
overlapping_shared_input_association,10,axis,0.2667,0.75,0.25,73.02067928551217,26.55750056654316
overlapping_shared_input_association,10,random,0.2667,0.75,0.25,100.75562494032907,26.36592992077479
overlapping_shared_input_association,10,axis,0.3333,0.75,0.25,66.38877250736529,33.18940734469004
overlapping_shared_input_association,10,random,0.3333,0.75,0.25,102.06587453583391,32.89754464764583
overlapping_shared_input_association,10,axis,0.4,0.75,0.25,59.7469079112332,39.831271940822134
overlapping_shared_input_association,10,random,0.4,0.75,0.25,103.73371382470158,39.349090884234855
overlapping_shared_input_association,10,axis,0.4667,0.75,0.25,53.1050433151011,46.47313653695423
overlapping_shared_input_association,10,random,0.4667,0.75,0.25,105.71445401289378,45.68545832465498
overlapping_shared_input_association,10,axis,0.5333,0.75,0.25,46.47313653695423,53.1050433151011
overlapping_shared_input_association,10,random,0.5333,0.75,0.25,107.96151175791323,51.884579824019234
overlapping_shared_input_association,10,axis,0.6,0.75,0.25,39.831271940822134,59.7469079112332
overlapping_shared_input_association,10,random,0.6,0.75,0.25,110.43975423590024,57.95882080338188
overlapping_shared_input_association,10,axis,0.6667,0.75,0.25,33.18940734469005,66.38877250736527
overlapping_shared_input_association,10,random,0.6667,0.75,0.25,113.10184736609904,63.88582269140225
overlapping_shared_input_association,10,axis,0.7333,0.5625,0.25,26.557500566543162,73.02067928551216
overlapping_shared_input_association,10,random,0.7333,0.75,0.25,115.910623865708,69.65946852134145
overlapping_shared_input_association,10,axis,0.8,0.25,0.25,19.91563597041106,79.66254388164427
overlapping_shared_input_association,10,random,0.8,0.75,0.25,118.84909782501161,75.30677167468323
overlapping_shared_input_association,10,axis,0.8667,0.25,0.25,13.273771374278972,86.30440847777635
overlapping_shared_input_association,10,random,0.8667,0.75,0.25,121.88990618513776,80.82519483910524
overlapping_shared_input_association,10,axis,0.9333,-0.25,0.25,6.641864596132089,92.93631525592325
overlapping_shared_input_association,10,random,0.9333,0.75,0.25,125.0032507732647,86.20553316502203
overlapping_shared_input_association,10,axis,1.0,-0.25,0.25,4.9849276524790955e-15,99.57817985205533
overlapping_shared_input_association,10,random,1.0,0.75,0.25,128.1841460005787,91.47500731040695
overlapping_shared_input_association,28,axis,0.0,0.75,0.25,94.41730790791686,0.0
overlapping_shared_input_association,28,random,0.0,0.75,0.25,94.41730790791686,0.0
overlapping_shared_input_association,28,axis,0.0667,0.75,0.25,88.11967347045882,6.297634437458054
overlapping_shared_input_association,28,random,0.0667,0.75,0.25,94.12838560937382,6.263768857429921
overlapping_shared_input_association,28,axis,0.1333,0.75,0.25,81.83148076379155,12.58582714412532
overlapping_shared_input_association,28,random,0.1333,0.75,0.25,94.22800627924137,12.512016564477893
overlapping_shared_input_association,28,axis,0.2,0.75,0.25,75.53384632633349,18.88346158158338
overlapping_shared_input_association,28,random,0.2,0.75,0.25,94.72636685955888,18.769769645086757
overlapping_shared_input_association,28,axis,0.2667,0.75,0.25,69.23621188887543,25.181096019041426
overlapping_shared_input_association,28,random,0.2667,0.75,0.25,95.62183658446793,25.020194148910058
overlapping_shared_input_association,28,axis,0.3333,0.75,0.25,62.948019182208185,31.469288725708694
overlapping_shared_input_association,28,random,0.3333,0.75,0.25,96.89359562146197,31.230068279016333
overlapping_shared_input_association,28,axis,0.4,0.75,0.25,56.65038474475012,37.76692316316675
overlapping_shared_input_association,28,random,0.4,0.75,0.25,98.51122143688578,37.37926402322797
overlapping_shared_input_association,28,axis,0.4667,0.75,0.25,50.35275030729207,44.0645576006248
overlapping_shared_input_association,28,random,0.4667,0.75,0.25,100.4330690321168,43.43324016435143
overlapping_shared_input_association,28,axis,0.5333,0.75,0.25,44.0645576006248,50.35275030729207
overlapping_shared_input_association,28,random,0.5333,0.75,0.25,102.61446732027115,49.36585242407804
overlapping_shared_input_association,28,axis,0.6,0.75,0.25,37.76692316316675,56.65038474475012
overlapping_shared_input_association,28,random,0.6,0.75,0.25,105.02225852169646,55.18604659584759
overlapping_shared_input_association,28,axis,0.6667,0.75,0.25,31.469288725708697,62.94801918220817
overlapping_shared_input_association,28,random,0.6667,0.75,0.25,107.61565327925751,60.87919255935401
overlapping_shared_input_association,28,axis,0.7333,0.4375,0.25,25.181096019041433,69.23621188887543
overlapping_shared_input_association,28,random,0.7333,0.75,0.25,110.3550042181438,66.43210757171758
overlapping_shared_input_association,28,axis,0.8,0.25,0.25,18.88346158158337,75.5338463263335
overlapping_shared_input_association,28,random,0.8,0.75,0.25,113.21841857167648,71.86163029485951
overlapping_shared_input_association,28,axis,0.8667,0.25,0.25,12.585827144125318,81.83148076379155
overlapping_shared_input_association,28,random,0.8667,0.75,0.25,116.18194344795987,77.16992811284865
overlapping_shared_input_association,28,axis,0.9333,-0.25,0.25,6.297634437458053,88.11967347045882
overlapping_shared_input_association,28,random,0.9333,0.75,0.25,119.22206518481555,82.35607434227526
overlapping_shared_input_association,28,axis,1.0,-0.25,0.25,4.750401430550862e-15,94.41730790791686
overlapping_shared_input_association,28,random,1.0,0.75,0.25,122.33018407678195,87.43976522861564
overlapping_shared_input_association,21,axis,0.0,0.75,0.25,99.97686329088312,0.0
overlapping_shared_input_association,21,random,0.0,0.75,0.25,99.97686329088312,0.0
overlapping_shared_input_association,21,axis,0.0667,0.75,0.25,93.30840650938119,6.668456781501901
overlapping_shared_input_association,21,random,0.0667,0.75,0.25,99.64331215737512,6.6269586183167455
overlapping_shared_input_association,21,axis,0.1333,0.75,0.25,86.64994741420836,13.326915876674716
overlapping_shared_input_association,21,random,0.1333,0.75,0.25,99.71678825672403,13.237261257288774
overlapping_shared_input_association,21,axis,0.2,0.75,0.25,79.98149063270648,19.99537265817662
overlapping_shared_input_association,21,random,0.2,0.75,0.25,100.21196187440027,19.857262112964865
overlapping_shared_input_association,21,axis,0.2667,0.75,0.25,73.31303385120458,26.663829439678516
overlapping_shared_input_association,21,random,0.2667,0.75,0.25,101.12743953757969,26.466870804438223
overlapping_shared_input_association,21,axis,0.3333,0.75,0.25,66.65457475603176,33.32228853485134
overlapping_shared_input_association,21,random,0.3333,0.75,0.25,102.4372834150523,33.018637590000075
overlapping_shared_input_association,21,axis,0.4,0.75,0.25,59.98611797452985,39.99074531635324
overlapping_shared_input_association,21,random,0.4,0.75,0.25,104.10664480214116,39.49154551706319
overlapping_shared_input_association,21,axis,0.4667,0.75,0.25,53.317661193027945,46.65920209785514
overlapping_shared_input_association,21,random,0.4667,0.75,0.25,106.08918471791787,45.847860633142865
overlapping_shared_input_association,21,axis,0.5333,0.75,0.25,46.65920209785514,53.317661193027945
overlapping_shared_input_association,21,random,0.5333,0.75,0.25,108.33795718489944,52.064235772069694
overlapping_shared_input_association,21,axis,0.6,0.75,0.25,39.99074531635324,59.98611797452985
overlapping_shared_input_association,21,random,0.6,0.75,0.25,110.82004009541025,58.15596601795443
overlapping_shared_input_association,21,axis,0.6667,0.75,0.25,33.322288534851346,66.65457475603176
overlapping_shared_input_association,21,random,0.6667,0.75,0.25,113.49365551266315,64.11081072222292
overlapping_shared_input_association,21,axis,0.7333,0.75,0.25,26.663829439678523,73.31303385120457
overlapping_shared_input_association,21,random,0.7333,0.75,0.25,116.3209101235592,69.91940565802928
overlapping_shared_input_association,21,axis,0.8,0.75,0.25,19.995372658176613,79.98149063270648
overlapping_shared_input_association,21,random,0.8,0.75,0.25,119.27979807291389,75.60083052465632
overlapping_shared_input_association,21,axis,0.8667,0.75,0.25,13.326915876674715,86.64994741420837
overlapping_shared_input_association,21,random,0.8667,0.75,0.25,122.34154363695697,81.15137566036628
overlapping_shared_input_association,21,axis,0.9333,0.25,0.25,6.6684567815019005,93.30840650938119
overlapping_shared_input_association,21,random,0.9333,0.75,0.25,125.47595436744118,86.56101765940784
overlapping_shared_input_association,21,axis,1.0,-0.25,0.25,5.009919841099035e-15,99.97686329088312
overlapping_shared_input_association,21,random,1.0,0.75,0.25,128.68314798808274,91.86523598692798
overlapping_shared_input_association,18,axis,0.0,0.75,0.25,96.9859328134372,0.0
overlapping_shared_input_association,18,random,0.0,0.75,0.25,96.9859328134372,0.0
overlapping_shared_input_association,18,axis,0.0667,0.75,0.25,90.51697109478096,6.468961718656262
overlapping_shared_input_association,18,random,0.0667,0.75,0.25,96.6840532441637,6.431286077926703
overlapping_shared_input_association,18,axis,0.1333,0.75,0.25,84.05770796940604,12.928224844031181
overlapping_shared_input_association,18,random,0.1333,0.75,0.25,96.77865375166529,12.846220369109329
overlapping_shared_input_association,18,axis,0.2,0.75,0.25,77.58874625074978,19.39718656268745
overlapping_shared_input_association,18,random,0.2,0.75,0.25,97.28161651861315,19.270453519971053
overlapping_shared_input_association,18,axis,0.2667,0.75,0.25,71.1197845320935,25.86614828134371
overlapping_shared_input_association,18,random,0.2667,0.75,0.25,98.19117379869934,25.685882123873863
overlapping_shared_input_association,18,axis,0.3333,0.75,0.25,64.6605214067186,32.32541140671862
