condition,task_accuracy_mean,task_accuracy_sd,score_mean,score_sd,effective_distance_fraction_mean,edges_touched_mean,edges_silenced_mean
full_naive_reset,0.5,0.0,0.0,0.0,1.0,17452.666666666668,0.0
random_edge_count_matched_ablation,0.7998046875,0.03862834388736163,0.599609375,0.07725668777472312,0.27128841873874704,647.6666666666666,647.6666666666666
random_magnitude_matched_ablation,0.7994791666666666,0.032591806902854945,0.5989583333333334,0.06518361380570989,0.40700765776030634,1539.84375,1539.84375
silence_candidate_input_to_target_pathway,0.5,0.0,0.0,0.0,0.4070006924963783,647.6666666666666,647.6666666666666
trained,0.8020833333333334,0.036084391824351594,0.6041666666666666,0.07216878364870323,0.0,0.0,0.0
