seed,block,condition,replicate,score,task_accuracy,criterion_score,criterion_accuracy,positive_response_probability,negative_response_probability,effective_distance_from_trained,effective_distance_fraction_of_axis,collapsed_by_score,control_family,edges_touched,edges_touched_fraction,edges_silenced,edges_silenced_fraction,path_edges,path_edge_fraction,path_ablation_distance,ablation_match_error
1,ablation,trained,0,0.5625,0.78125,0.4,0.7,0.5625,0.0,0.0,0.0,False,reference,0,0.0,0,0.0,629,0.0009829107910791079,10.371216803108851,
1,ablation,full_naive_reset,0,0.0,0.5,0.4,0.7,0.0,0.0,26.621750092122845,1.0,True,full_reset,16554,0.025868211821182117,0,0.0,629,0.0009829107910791079,10.371216803108851,
1,ablation,silence_candidate_input_to_target_pathway,0,0.0,0.5,0.4,0.7,0.0,0.0,10.371216803108851,0.38957682223069207,True,candidate_pathway,629,0.0009829107910791079,629,0.0009829107910791079,629,0.0009829107910791079,10.371216803108851,
1,ablation,random_edge_count_matched_ablation,0,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.1524904569774455,0.23110766330865365,False,random_control,629,0.0009829107910791079,629,0.0009829107910791079,629,0.0009829107910791079,10.371216803108851,4.2187263461314055
1,ablation,random_magnitude_matched_ablation,0,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.37101259332091,0.38956915144318804,False,random_control,1722,0.002690894089408941,1722,0.002690894089408941,629,0.0009829107910791079,10.371216803108851,0.00020420978794177813
1,ablation,random_edge_count_matched_ablation,1,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.2462612531028245,0.23463000108888565,False,random_control,629,0.0009829107910791079,629,0.0009829107910791079,629,0.0009829107910791079,10.371216803108851,4.124955550006026
1,ablation,random_magnitude_matched_ablation,1,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.370229442216853,0.38953973372642087,False,random_control,1779,0.002779965496549655,1779,0.002779965496549655,629,0.0009829107910791079,10.371216803108851,0.0009873608919974686
1,ablation,random_edge_count_matched_ablation,2,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.558794139703198,0.24636975844964795,False,random_control,629,0.0009829107910791079,629,0.0009829107910791079,629,0.0009829107910791079,10.371216803108851,3.812422663405653
1,ablation,random_magnitude_matched_ablation,2,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.373312054620143,0.3896555267299846,False,random_control,1734,0.0027096459645964597,1734,0.0027096459645964597,629,0.0009829107910791079,10.371216803108851,0.0020952515112924175
1,ablation,random_edge_count_matched_ablation,3,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.207699672757357,0.23318150201530755,False,random_control,629,0.0009829107910791079,629,0.0009829107910791079,629,0.0009829107910791079,10.371216803108851,4.163517130351494
1,ablation,random_magnitude_matched_ablation,3,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.367460608178904,0.38943572726447273,False,random_control,1746,0.0027283978397839785,1746,0.0027283978397839785,629,0.0009829107910791079,10.371216803108851,0.0037561949299469433
1,ablation,random_edge_count_matched_ablation,4,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.400040021122307,0.24040643454977162,False,random_control,629,0.0009829107910791079,629,0.0009829107910791079,629,0.0009829107910791079,10.371216803108851,3.971176781986544
1,ablation,random_magnitude_matched_ablation,4,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.371712351428496,0.38959543664627067,False,random_control,1669,0.002608073307330733,1669,0.002608073307330733,629,0.0009829107910791079,10.371216803108851,0.0004955483196447119
1,ablation,random_edge_count_matched_ablation,5,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.107324550409224,0.22941108414267367,False,random_control,629,0.0009829107910791079,629,0.0009829107910791079,629,0.0009829107910791079,10.371216803108851,4.263892252699627
1,ablation,random_magnitude_matched_ablation,5,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.37050359748152,0.38955003189478765,False,random_control,1683,0.002629950495049505,1683,0.002629950495049505,629,0.0009829107910791079,10.371216803108851,0.0007132056273313481
1,ablation,random_edge_count_matched_ablation,6,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.2227780140495295,0.2337478938280169,False,random_control,629,0.0009829107910791079,629,0.0009829107910791079,629,0.0009829107910791079,10.371216803108851,4.1484387890593215
1,ablation,random_magnitude_matched_ablation,6,0.4375,0.71875,0.4,0.7,0.4375,0.0,10.371810686893744,0.3895991304479519,False,random_control,1694,0.002647139713971397,1694,0.002647139713971397,629,0.0009829107910791079,10.371216803108851,0.0005938837848926681
1,ablation,random_edge_count_matched_ablation,7,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.4189190195070385,0.24111559147294165,False,random_control,629,0.0009829107910791079,629,0.0009829107910791079,629,0.0009829107910791079,10.371216803108851,3.9522977836018125
1,ablation,random_magnitude_matched_ablation,7,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.369787305092252,0.3895231256100096,False,random_control,1730,0.0027033953395339534,1730,0.0027033953395339534,629,0.0009829107910791079,10.371216803108851,0.0014294980165985294
1,ablation,random_edge_count_matched_ablation,8,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.383803878196641,0.2397965519211134,False,random_control,629,0.0009829107910791079,629,0.0009829107910791079,629,0.0009829107910791079,10.371216803108851,3.98741292491221
1,ablation,random_magnitude_matched_ablation,8,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.370985030138112,0.38956811607989666,False,random_control,1768,0.0027627762776277626,1768,0.0027627762776277626,629,0.0009829107910791079,10.371216803108851,0.0002317729707392857
1,ablation,random_edge_count_matched_ablation,9,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.348006913356536,0.23845190084760276,False,random_control,629,0.0009829107910791079,629,0.0009829107910791079,629,0.0009829107910791079,10.371216803108851,4.023209889752315
1,ablation,random_magnitude_matched_ablation,9,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.371805880098007,0.38959894988898336,False,random_control,1835,0.0028674742474247427,1835,0.0028674742474247427,629,0.0009829107910791079,10.371216803108851,0.0005890769891561121
1,ablation,random_edge_count_matched_ablation,10,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.352065694274995,0.23860436193315926,False,random_control,629,0.0009829107910791079,629,0.0009829107910791079,629,0.0009829107910791079,10.371216803108851,4.019151108833856
1,ablation,random_magnitude_matched_ablation,10,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.375282071309407,0.38972952699978075,False,random_control,1756,0.002744024402440244,1756,0.002744024402440244,629,0.0009829107910791079,10.371216803108851,0.0040652682005557494
