seed,training_repetitions,trained_score,trained_task_accuracy,naive_score_after_weight_reset,naive_task_accuracy_after_weight_reset,criterion_score,criterion_accuracy,reached_criterion,training_history,axis_norm,path_delta_norm,path_delta_norm_fraction,path_edges,synapse_count,path_edge_fraction
1,25,0.5625,0.78125,0.0,0.5,0.4,0.7,True,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0625|0.25|0.5625,26.621750092122845,4.776555945254913,0.17942306304904634,629,639936,0.0009829107910791079
3,28,0.5625,0.78125,0.0,0.5,0.4,0.7,True,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.375|0.5625,29.886260038524682,5.2594245093372916,0.17598135405894433,628,639926,0.0009813634701512362
4,14,0.6875,0.84375,0.0,0.5,0.4,0.7,True,0|0|0|0|0|0|0|0|0|0|0|0|0.0625|0.25|0.6875,17.68772581012309,2.7732295328494607,0.15678836061910673,686,639940,0.0010719754977029097
