task,seed,alpha_star_axis,random_ever_breaks
overlapping_shared_target_association,1,0.7333,False
overlapping_shared_target_association,2,0.8,False
overlapping_shared_target_association,3,1.0,False
overlapping_shared_target_association,4,0.8667,False
overlapping_shared_target_association,5,0.7333,False
overlapping_shared_target_association,6,0.8667,False
overlapping_shared_target_association,7,0.8,False
overlapping_shared_target_association,8,0.9333,False
overlapping_shared_target_association,9,0.7333,False
overlapping_shared_target_association,10,0.8667,False
overlapping_shared_target_association,11,0.8667,False
overlapping_shared_target_association,12,0.7333,False
overlapping_shared_target_association,13,0.8,False
overlapping_shared_target_association,14,0.7333,False
overlapping_shared_target_association,15,0.7333,False
overlapping_shared_target_association,16,0.8667,False
overlapping_shared_target_association,17,0.8667,False
overlapping_shared_target_association,18,0.9333,False
overlapping_shared_target_association,19,0.8667,False
overlapping_shared_target_association,20,0.7333,False
overlapping_shared_target_association,21,0.9333,False
overlapping_shared_target_association,22,0.7333,False
overlapping_shared_target_association,23,0.8667,False
overlapping_shared_target_association,24,0.8,False
overlapping_shared_target_association,25,0.7333,False
overlapping_shared_target_association,26,0.8,False
overlapping_shared_target_association,27,0.8667,False
overlapping_shared_target_association,28,0.9333,False
overlapping_shared_target_association,29,0.7333,False
overlapping_shared_target_association,30,0.8,False
overlapping_shared_target_association,31,0.8,False
overlapping_shared_target_association,32,0.8,False
overlapping_shared_target_association,33,0.8,False
overlapping_shared_target_association,34,0.8,False
overlapping_shared_target_association,35,0.8,False
overlapping_shared_target_association,36,0.8667,False
overlapping_shared_target_association,37,0.8667,False
overlapping_shared_target_association,38,0.7333,False
overlapping_shared_target_association,39,0.8667,False
overlapping_shared_target_association,40,0.8667,False
overlapping_shared_target_association,41,0.7333,False
overlapping_shared_target_association,42,0.8,False
overlapping_shared_target_association,43,0.8,False
overlapping_shared_target_association,44,0.7333,False
overlapping_shared_target_association,45,0.8667,False
overlapping_shared_target_association,46,0.8667,False
overlapping_shared_target_association,47,0.6667,False
overlapping_shared_target_association,48,0.8,False
overlapping_shared_target_association,49,0.8,False
overlapping_shared_target_association,50,0.8,False
