protocol_id,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,criterion_score,total_pulses,trained_score,no_reset_score,reset_score,residual_performance,forgetting_score,score_drop,criterion_forget,made_forget,relearn_measured,relearn_trials,relearn_score,relearn_reached_criterion,relearn_savings,energy_cost_uC,reset_minus_no_reset_weight_norm,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,task_count
b0_epoch_pause_correlated_3s_50uA,0.0,epoch_pause,correlated,3.0,50.0,160,0.375,403.6666666666667,1.0,1.0,0.96875,0.96875,0.03125,0.3333333333333333,0.0,0.0,1.0,0.0,0.96875,1.0,1.0,6.458666666666667,24.52851052771553,-0.028769720152978632,95459.33333333333,2
b0_static_shared_3s_50uA,0.0,static,shared,3.0,50.0,160,0.375,1002.6666666666666,1.0,1.0,0.96875,0.96875,0.03125,0.3333333333333333,0.0,0.0,1.0,0.0,0.96875,1.0,1.0,16.042666666666666,52.57187109155347,-0.07046903286833306,342430.8333333334,2
b2_epoch_pause_shared_3s_50uA,2.0,epoch_pause,shared,3.0,50.0,160,0.375,452.3333333333333,1.0,1.0,0.96875,0.96875,0.03125,0.3333333333333333,0.0,0.0,1.0,0.0,0.96875,1.0,1.0,7.237333333333333,26.629699089300345,-0.043779461989809046,137197.1666666667,2
b-2_chirp_correlated_3s_10uA,-2.0,chirp,correlated,3.0,10.0,160,0.375,2179.3333333333335,1.0,1.0,0.9791666666666667,0.9791666666666667,0.020833333333333332,0.3333333333333333,0.0,0.0,1.0,0.0,0.9791666666666667,1.0,1.0,6.973866666666666,3.7383133014040335,-0.0024102706467542,5138.666666666667,2
b-2_epoch_pause_correlated_3s_50uA,-2.0,epoch_pause,correlated,3.0,50.0,160,0.375,614.6666666666666,1.0,1.0,0.9791666666666667,0.9791666666666667,0.020833333333333332,0.3333333333333333,0.0,0.0,1.0,0.0,0.9791666666666667,1.0,1.0,9.834666666666667,35.45665326264977,-0.05267254058214467,174021.3333333333,2
b2_chirp_shared_3s_10uA,2.0,chirp,shared,3.0,10.0,160,0.375,1738.0,1.0,1.0,0.9791666666666667,0.9791666666666667,0.020833333333333332,0.3333333333333333,0.0,0.0,1.0,0.0,0.9791666666666667,1.0,1.0,5.5615999999999985,7.725286070905117,-0.0023979806864847996,14392.333333333334,2
b-2_epoch_pause_shared_3s_10uA,-2.0,epoch_pause,shared,3.0,10.0,160,0.375,1142.0,1.0,1.0,0.9895833333333333,0.9895833333333333,0.010416666666666666,0.16666666666666666,0.0,0.0,1.0,0.0,0.9895833333333333,1.0,1.0,3.6543999999999994,0.0379961465440931,0.0,11.0,2
b0_chirp_correlated_3s_10uA,0.0,chirp,correlated,3.0,10.0,160,0.375,1495.3333333333333,1.0,1.0,0.9895833333333333,0.9895833333333333,0.010416666666666666,0.16666666666666666,0.0,0.0,1.0,0.0,0.9895833333333333,1.0,1.0,4.785066666666666,1.324595447805844,-0.0003990072997965668,786.8333333333334,2
b0_chirp_shared_3s_10uA,0.0,chirp,shared,3.0,10.0,160,0.375,2567.3333333333335,1.0,1.0,0.9895833333333333,0.9895833333333333,0.010416666666666666,0.16666666666666666,0.0,0.0,1.0,0.0,0.9895833333333333,1.0,1.0,8.215466666666666,4.2302172521783,-0.0015996124660167736,6226.666666666666,2
b0_static_correlated_3s_50uA,0.0,static,correlated,3.0,50.0,160,0.375,596.0,1.0,1.0,0.9895833333333333,0.9895833333333333,0.010416666666666666,0.16666666666666666,0.0,0.0,1.0,0.0,0.9895833333333333,1.0,1.0,9.536,33.613350084059455,-0.043734386224417277,145790.0,2
b2_epoch_pause_correlated_3s_50uA,2.0,epoch_pause,correlated,3.0,50.0,160,0.375,276.0,1.0,1.0,0.9895833333333333,0.9895833333333333,0.010416666666666666,0.16666666666666666,0.0,0.0,1.0,0.0,0.9895833333333333,1.0,1.0,4.416,17.906180445978226,-0.0205722726708469,62268.5,2
b2_static_correlated_3s_50uA,2.0,static,correlated,3.0,50.0,160,0.375,406.6666666666667,1.0,1.0,0.9895833333333333,0.9895833333333333,0.010416666666666666,0.16666666666666666,0.0,0.0,1.0,0.0,0.9895833333333333,1.0,1.0,6.506666666666667,24.248613582264916,-0.033530209156518664,100091.83333333334,2
