task_name,task_label,protocol_id,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,criterion_score,total_pulses,baseline_score,trained_score,no_reset_score,reset_score,residual_performance,forgetting_score,score_drop,criterion_forget,made_forget,relearn_measured,relearn_trials,relearn_score,relearn_reached_criterion,relearn_savings,energy_cost_uC,reset_minus_no_reset_weight_norm,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,replicates
pattern_discrimination,Pattern,b0_chirp_correlated_3s_50uA,0.0,chirp,correlated,3.0,50.0,160,0.35,1495.3333333333333,0.0,1.0,1.0,0.4375,0.4375,0.5625,1.0,0.0,0.0,1.0,0.0,0.4375,1.0,1.0,23.92533333333333,110.17005206649857,-0.08379184638211246,653900.3333333334,3
pattern_discrimination,Pattern,b-2_epoch_pause_shared_3s_50uA,-2.0,epoch_pause,shared,3.0,50.0,160,0.35,1142.0,0.0,1.0,1.0,0.4583333333333333,0.4583333333333333,0.5416666666666666,1.0,0.0,0.0,1.0,0.0,0.4583333333333333,1.0,1.0,18.272000000000002,79.0375530557594,-0.0906923459318884,515289.6666666667,3
pattern_discrimination,Pattern,b-2_gated_burst_shared_3s_50uA,-2.0,gated_burst,shared,3.0,50.0,160,0.35,1011.3333333333334,0.0,1.0,1.0,0.5,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.5,1.0,1.0,16.18133333333333,135.99463249542725,-0.09688517491479247,624162.6666666666,3
pattern_discrimination,Pattern,b2_chirp_correlated_3s_50uA,2.0,chirp,correlated,3.0,50.0,160,0.35,986.3333333333334,0.0,1.0,1.0,0.75,0.75,0.25,1.0,0.0,0.0,1.0,0.0,0.75,1.0,1.0,15.781333333333334,64.7727656017892,-0.0829200807375106,386133.6666666667,3
pattern_discrimination,Pattern,b0_gated_burst_correlated_3s_50uA,0.0,gated_burst,correlated,3.0,50.0,160,0.35,569.0,0.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.0,0.0,1.0,0.0,0.8333333333333334,1.0,1.0,9.104000000000001,55.09409198509218,-0.06661893567256154,300206.6666666667,3
pattern_discrimination,Pattern,b2_epoch_pause_shared_3s_50uA,2.0,epoch_pause,shared,3.0,50.0,160,0.35,452.3333333333333,0.0,1.0,1.0,0.9375,0.9375,0.0625,0.6666666666666666,0.0,0.0,1.0,0.0,0.9375,1.0,1.0,7.237333333333333,27.00898519082466,-0.0404884106204328,138416.33333333334,3
pattern_discrimination,Pattern,b2_chirp_shared_3s_10uA,2.0,chirp,shared,3.0,10.0,160,0.35,1738.0,0.0,1.0,1.0,0.9583333333333334,0.9583333333333334,0.041666666666666664,0.6666666666666666,0.0,0.0,1.0,0.0,0.9583333333333334,1.0,1.0,5.5615999999999985,7.768190281860857,-0.002863693618061733,14710.333333333334,3
pattern_discrimination,Pattern,b-2_epoch_pause_shared_3s_10uA,-2.0,epoch_pause,shared,3.0,10.0,160,0.35,1142.0,0.0,1.0,1.0,0.9791666666666666,0.9791666666666666,0.020833333333333332,0.3333333333333333,0.0,0.0,1.0,0.0,0.9791666666666666,1.0,1.0,3.6543999999999994,0.039875426632289865,0.0,10.666666666666666,3
