task_name,task_label,protocol_id,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,criterion_score,total_pulses,baseline_score,trained_score,no_reset_score,reset_score,residual_performance,forgetting_score,score_drop,criterion_forget,made_forget,relearn_measured,relearn_trials,relearn_score,relearn_reached_criterion,relearn_savings,energy_cost_uC,reset_minus_no_reset_weight_norm,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,replicates
conditioned_electrode_association,Association,b-2_chirp_correlated_3s_50uA,-2.0,chirp,correlated,3.0,50.0,160,0.4,2179.3333333333335,0.0,1.0,1.0,0.875,0.875,0.125,1.0,0.0,0.0,1.0,0.0,0.875,1.0,1.0,34.86933333333334,215.4360193891604,-0.07504026716702321,1131788.6666666667,3
conditioned_electrode_association,Association,b-2_chirp_shared_3s_50uA,-2.0,chirp,shared,3.0,50.0,160,0.4,3716.3333333333335,0.0,1.0,1.0,0.875,0.875,0.125,1.0,0.0,0.0,1.0,0.0,0.875,1.0,1.0,59.461333333333336,314.1679803303527,-0.023825374537213898,2189199.0,3
conditioned_electrode_association,Association,b-2_epoch_pause_shared_3s_50uA,-2.0,epoch_pause,shared,3.0,50.0,160,0.4,1142.0,0.0,1.0,1.0,0.875,0.875,0.125,1.0,0.0,0.0,1.0,0.0,0.875,1.0,1.0,18.272000000000002,73.52902224160891,-0.10357024376573347,507319.0,3
conditioned_electrode_association,Association,b0_chirp_shared_3s_50uA,0.0,chirp,shared,3.0,50.0,160,0.4,2567.3333333333335,0.0,1.0,1.0,0.875,0.875,0.125,1.0,0.0,0.0,1.0,0.0,0.875,1.0,1.0,41.077333333333335,249.87507698441655,-0.06284616422921223,1413349.0,3
conditioned_electrode_association,Association,b0_chirp_correlated_3s_50uA,0.0,chirp,correlated,3.0,50.0,160,0.4,1495.3333333333333,0.0,1.0,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,0.9166666666666666,1.0,1.0,23.92533333333333,106.23965886977082,-0.09113672398707107,647308.6666666666,3
conditioned_electrode_association,Association,b2_chirp_correlated_3s_50uA,2.0,chirp,correlated,3.0,50.0,160,0.4,986.3333333333334,0.0,1.0,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,0.9166666666666666,1.0,1.0,15.781333333333334,61.94025738176367,-0.08918174467358149,381790.3333333333,3
conditioned_electrode_association,Association,b-2_alternating_blue_red_shared_3s_50uA,-2.0,alternating_blue_red,shared,3.0,50.0,160,0.4,918.6666666666666,0.0,1.0,1.0,0.9583333333333334,0.9583333333333334,0.041666666666666664,0.3333333333333333,0.0,0.0,1.0,0.0,0.9583333333333334,1.0,1.0,14.698666666666668,48.812719086950814,-0.07746527318291496,330663.6666666667,3
conditioned_electrode_association,Association,b0_alternating_blue_red_shared_3s_50uA,0.0,alternating_blue_red,shared,3.0,50.0,160,0.4,918.6666666666666,0.0,1.0,1.0,0.9583333333333334,0.9583333333333334,0.041666666666666664,0.3333333333333333,0.0,0.0,1.0,0.0,0.9583333333333334,1.0,1.0,14.698666666666668,48.812719086950814,-0.07746527318291496,330663.6666666667,3
conditioned_electrode_association,Association,b0_epoch_pause_correlated_3s_50uA,0.0,epoch_pause,correlated,3.0,50.0,160,0.4,403.6666666666667,0.0,1.0,1.0,0.9583333333333334,0.9583333333333334,0.041666666666666664,0.3333333333333333,0.0,0.0,1.0,0.0,0.9583333333333334,1.0,1.0,6.458666666666667,24.385474017064166,-0.03350351712642046,94830.33333333333,3
conditioned_electrode_association,Association,b0_epoch_pause_shared_3s_50uA,0.0,epoch_pause,shared,3.0,50.0,160,0.4,713.0,0.0,1.0,1.0,0.9583333333333334,0.9583333333333334,0.041666666666666664,0.3333333333333333,0.0,0.0,1.0,0.0,0.9583333333333334,1.0,1.0,11.408000000000001,37.63803495223723,-0.07045494133271578,239175.0,3
