task,seeds,edges,delta_norm_mean,delta_norm_sd,mean_axis_alignment_mean,mean_axis_alignment_sd,pca_top1_variance_explained,pca_top2_variance_explained,pca_top5_variance_explained,pca_participation_ratio,svd_top1_variance_explained,svd_top2_variance_explained,svd_top5_variance_explained,centered_singular_values,uncentered_singular_values
conditioned_electrode_association,50,4096,1.1926771144031554,0.1111408148798341,0.8737485557233488,0.07339302657225973,0.178718664081915,0.32407361566123205,0.6000991875709637,10.980836930370721,0.8684529386133557,0.8908842571506594,0.9371608115879498,1.32953|1.19903|1.0249|0.960747|0.86985|0.722489|0.676778|0.670836|0.610774|0.580789,7.89262|1.26846|1.16334|1.02201|0.959957|0.864317|0.708166|0.671018|0.663473|0.604701
pattern_discrimination,50,4096,1.7096304212827746,0.10663083629257178,0.8601125588308435,0.05090144854104157,0.14040049689018314,0.25245440131775776,0.47593203441932386,15.803197028883291,0.8582759844979806,0.8785555918565084,0.9160489827502114,1.72706|1.54289|1.29316|1.25314|1.22679|1.0613|0.998375|0.94844|0.866058|0.825359,11.2209|1.72482|1.5056|1.29062|1.25209|1.20004|1.0293|0.966227|0.948439|0.860858
overlapping_shared_target_association,50,4096,1.6598007782600641,0.10624783568620838,0.8609249788056875,0.04695567402397946,0.13077502904409435,0.25011979439124005,0.5033915326629907,14.553035173171848,0.8584370642839675,0.8771345458381872,0.9197679323628656,1.6161|1.54385|1.43256|1.2488|1.2027|1.13619|1.05724|0.941432|0.865607|0.769614,10.896|1.60806|1.52915|1.41776|1.24413|1.1962|1.09911|1.05719|0.936283|0.862013
overlapping_shared_input_association,50,4096,2.5615171169465656,0.162563498807654,0.777316181612515,0.04483399572994579,0.09413633068674503,0.17484257828917982,0.3678373652781922,22.698088907345156,0.7767754735520184,0.7974738432797086,0.8449119631420957,2.65114|2.45476|2.30176|2.15422|2.11446|1.88243|1.79573|1.74836|1.73534|1.61289,15.995|2.61099|2.43506|2.2614|2.14031|2.10931|1.87838|1.79553|1.74828|1.73328
multi_association_mapping,50,4096,2.4206403464269335,0.11140641313827486,0.8659804460005072,0.03605064451665029,0.1066242757549212,0.18883818186700935,0.3836398993626419,20.90076548696499,0.8652258544803589,0.8797861990539025,0.9094656363468249,2.06757|1.81553|1.74555|1.60802|1.47561|1.43668|1.37024|1.32055|1.30439|1.25546,15.9379|2.06753|1.81545|1.71585|1.5727|1.46183|1.42582|1.37007|1.32049|1.27248
xor_electrode_classification,50,4096,2.718738956668442,0.16551606922694906,0.77934229905188,0.03861372479594671,0.08727925598632062,0.15829692123185973,0.335735878804766,24.83695147124468,0.7783559803987188,0.7977826637384802,0.8399630346426099,2.69573|2.43167|2.27347|2.2244|2.15805|1.98329|1.9602|1.88015|1.77921|1.73672,16.9914|2.68435|2.35699|2.26836|2.22366|2.1477|1.97614|1.96019|1.86614|1.77773
