condition,seeds,old_task_score,input_response_probability,sham_response_probability,evoked_response_probability,input_target_spikes_per_trial,sham_target_spikes_per_trial,evoked_target_spikes_per_trial,evoked_total_spikes_per_trial,distance_from_trained,distance_from_naive
anti_training_delta,3,0.4895833333333333,0.4895833333333333,0.4895833333333333,0.0,0.6770833333333334,0.6770833333333334,0.0,0.0,302.9530373858486,33.31502226427082
direct_naive_weights,3,0.4895833333333333,0.4895833333333333,0.4895833333333333,0.0,0.6770833333333334,0.6770833333333334,0.0,0.0,269.65486895749353,0.0
naive_before_training,3,0.4791666666666667,0.4791666666666667,0.4791666666666667,0.0,0.7604166666666666,0.7604166666666666,0.0,0.0,269.65486895749353,0.0
shuffle_trained_weights,3,0.4895833333333333,0.4895833333333333,0.4895833333333333,0.0,0.6770833333333334,0.6770833333333334,0.0,0.0,227.891818631246,290.1262655264861
trained_clone,3,0.4895833333333333,0.4895833333333333,0.4895833333333333,0.0,0.6770833333333334,0.6770833333333334,0.0,0.0,0.0,269.65486895749353
zero_all_weights,3,0.4895833333333333,0.4895833333333333,0.4895833333333333,0.0,0.6770833333333334,0.6770833333333334,0.0,0.0,440.12178905743986,198.2437310542363
zero_input_source_edges,3,0.4895833333333333,0.4895833333333333,0.4895833333333333,0.0,0.6770833333333334,0.6770833333333334,0.0,0.0,44.22999713330711,269.07400483700343
zero_input_to_target,3,0.4895833333333333,0.4895833333333333,0.4895833333333333,0.0,0.6770833333333334,0.6770833333333334,0.0,0.0,24.215360527419534,269.4849716106609
zero_target_incoming_edges,3,0.4895833333333333,0.4895833333333333,0.4895833333333333,0.0,0.6770833333333334,0.6770833333333334,0.0,0.0,68.7315113559098,268.1208904528996
