protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,initial_trials_to_criterion,initial_trials_for_savings,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,forgetting_score,criterion_score,score_drop,criterion_forget,made_forget,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,relearn_trials,relearn_measured,relearn_score,relearn_reached_criterion,relearn_savings,relearn_elapsed_s,replicates
b-2_chirp_shared_3s_50uA,overlapping_shared_target_association,-2.0,chirp,shared,3.0,50.0,160,3782.0,0.0,1.0,1.0,80.0,13.0,13.0,1.0,0.5833333333333333,1.0,-0.41666666666666674,0.41666666666666674,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.38784337787321,82.38784337787321,314.49101504767555,0.0,314.49101504767555,-2.930996055080635,1.2137735261319449e-11,0.21551463446442265,0.9999999999999999,0.05914938160474349,2255977.0,0.0,0.0,1.0,0.5833333333333333,1.0,1.0,1.183277434000047,1
b0_chirp_shared_3s_50uA,overlapping_shared_target_association,0.0,chirp,shared,3.0,50.0,160,2549.0,0.0,1.0,1.0,80.0,13.0,13.0,1.0,0.5833333333333333,1.0,-0.41666666666666674,0.41666666666666674,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.38784337787321,82.38784337787321,244.7505581604169,0.0,244.7505581604169,-2.124152462603499,1.2137735261319449e-11,0.2924749536487386,0.9999999999999999,0.03240070335265759,1418805.0,0.0,0.0,1.0,0.5833333333333333,1.0,1.0,1.1781173480000007,1
b-2_chirp_correlated_3s_50uA,overlapping_shared_target_association,-2.0,chirp,correlated,3.0,50.0,160,2292.0,0.0,1.0,1.0,80.0,13.0,13.0,1.0,0.5833333333333333,1.0,-0.41666666666666674,0.41666666666666674,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.38784337787321,82.38784337787321,230.481160096052,0.0,230.481160096052,-1.9655373692897657,1.2137735261319449e-11,0.3163214722827947,0.9999999999999999,0.015836848769652946,1232041.0,0.0,0.0,1.0,0.5833333333333333,1.0,1.0,1.2121064950000005,1
b2_chirp_shared_3s_50uA,overlapping_shared_target_association,2.0,chirp,shared,3.0,50.0,160,1780.0,0.0,1.0,1.0,80.0,13.0,13.0,1.0,0.625,1.0,-0.375,0.375,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.38784337787321,82.38784337787321,154.5169683618112,0.0,154.5169683618112,-1.1240871144074842,1.2137735261319449e-11,0.46034090509385306,0.9999999999999999,0.0028444942771255763,885078.0,0.0,0.0,1.0,0.625,1.0,1.0,1.1288904189999585,1
b-2_gated_burst_shared_3s_50uA,overlapping_shared_target_association,-2.0,gated_burst,shared,3.0,50.0,160,1137.0,0.0,1.0,1.0,80.0,13.0,13.0,1.0,0.6666666666666667,1.0,-0.33333333333333326,0.33333333333333326,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.38784337787321,82.38784337787321,156.27197040144648,0.0,156.27197040144648,-1.1443174874896105,1.2137735261319449e-11,0.45753992262114723,0.9999999999999999,-0.00015334406820258055,690823.0,0.0,0.0,1.0,0.6666666666666667,1.0,1.0,1.1043150930000252,1
b0_gated_burst_shared_3s_50uA,overlapping_shared_target_association,0.0,gated_burst,shared,3.0,50.0,160,1115.0,0.0,1.0,1.0,80.0,13.0,13.0,1.0,0.6666666666666667,1.0,-0.33333333333333326,0.33333333333333326,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.38784337787321,82.38784337787321,151.28803223467727,0.0,151.28803223467727,-1.091011809026393,1.2137735261319449e-11,0.4704500597631253,0.9999999999999999,-0.00018338863853559637,681192.0,0.0,0.0,1.0,0.6666666666666667,1.0,1.0,1.0787140679999538,1
b2_gated_burst_shared_3s_50uA,overlapping_shared_target_association,2.0,gated_burst,shared,3.0,50.0,160,1113.0,0.0,1.0,1.0,80.0,13.0,13.0,1.0,0.6666666666666667,1.0,-0.33333333333333326,0.33333333333333326,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.38784337787321,82.38784337787321,131.59760732978864,0.0,131.59760732978864,-0.8851865625639199,1.2137735261319449e-11,0.5252793200344633,0.9999999999999999,-0.0012901377239681558,633124.0,0.0,0.0,1.0,0.6666666666666667,1.0,1.0,1.072036240999978,1
b0_epoch_pause_shared_3s_50uA,overlapping_shared_target_association,0.0,epoch_pause,shared,3.0,50.0,160,767.0,0.0,1.0,1.0,80.0,13.0,13.0,1.0,0.875,1.0,-0.125,0.125,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.38784337787321,82.38784337787321,41.092157761376306,0.0,41.092157761376306,-0.12033373558949423,1.2137735261319449e-11,0.8958699605112227,0.9999999999999999,-0.003190667403424197,253808.0,0.0,0.0,1.0,0.875,1.0,1.0,1.1276649439998891,1
b0_chirp_correlated_3s_50uA,overlapping_shared_target_association,0.0,chirp,correlated,3.0,50.0,160,1498.0,0.0,1.0,1.0,80.0,13.0,13.0,1.0,0.9166666666666666,1.0,-0.08333333333333337,0.08333333333333337,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.38784337787321,82.38784337787321,113.0241105686508,0.0,113.0241105686508,-0.6989301285144875,1.2137735261319449e-11,0.5836307833622472,0.9999999999999999,-0.0021897911219378383,657721.0,0.0,0.0,1.0,0.9166666666666666,1.0,1.0,1.087149454999917,1
b-2_static_shared_3s_50uA,overlapping_shared_target_association,-2.0,static,shared,3.0,50.0,160,1520.0,0.0,1.0,1.0,80.0,13.0,13.0,1.0,0.9166666666666666,1.0,-0.08333333333333337,0.08333333333333337,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.38784337787321,82.38784337787321,98.07416227350342,0.0,98.07416227350342,-0.5535357186934657,1.2137735261319449e-11,0.6377449471750039,0.9999999999999999,0.0017847480769890578,684492.0,0.0,0.0,1.0,0.9166666666666666,1.0,1.0,1.2129594740000016,1
