task,seed,condition,score,criterion,distance_from_naive,distance_from_trained,edges_changed_fraction,mapping_count
xor_electrode_classification,5,trained,0.6,0.25,103.15663387467204,0.0,,3
xor_electrode_classification,5,naive_replacement,-0.2,0.25,0.0,103.15663387467204,,3
xor_electrode_classification,5,zero_all,0.0,0.25,196.96589655845096,230.76167173019348,,3
xor_electrode_classification,5,shuffle_magnitudes,0.1333333333333333,0.25,149.20703265706166,173.20302368686433,,3
xor_electrode_classification,5,anti_training_delta,0.6,0.25,106.11275829786102,35.74208006830228,,3
xor_electrode_classification,5,random_matched_full_trace,0.6,0.25,131.9136263151984,94.1838643426939,,3
xor_electrode_classification,5,zero_task_path_union,0.6,0.25,100.76458150174464,31.970314909953235,0.002525272255915091,3
xor_electrode_classification,5,zero_all_task_inputs_outgoing,0.1333333333333333,0.25,90.48003160600754,75.61039409535134,0.019597425347420268,3
xor_electrode_classification,5,zero_all_task_targets_incoming,0.0,0.25,98.40933171019658,69.31598166391962,0.03997305959548764,3
xor_electrode_classification,5,random_edge_count_matched_task_path_union,0.6,0.25,103.51604093892387,11.29805148390883,0.002525272255915091,3
xor_electrode_classification,5,random_distance_matched_task_path_union,0.6,0.25,104.94186992123542,31.66851587099188,,3
xor_electrode_classification,5,zero_path_a_xor_correct,0.6,0.25,102.2582134376473,19.747966104852743,0.0009407264220673791,3
xor_electrode_classification,5,zero_path_b_xor_correct,0.6,0.25,102.43194083874158,17.792885580850754,0.0007703955582711262,3
xor_electrode_classification,5,zero_path_a_b_conjunction_correct,0.6,0.25,102.40624195075766,17.76322304284666,0.0008141502755765856,3
xor_electrode_classification,26,trained,0.6,0.25,104.36438645029354,0.0,,3
xor_electrode_classification,26,naive_replacement,0.04999999999999999,0.25,0.0,104.36438645029354,,3
xor_electrode_classification,26,zero_all,-0.025,0.25,198.45015494801308,233.02848155802232,,3
xor_electrode_classification,26,shuffle_magnitudes,-0.06666666666666671,0.25,151.0404390431267,175.16924419213828,,3
xor_electrode_classification,26,anti_training_delta,0.6,0.25,108.21869439396286,36.51997850108977,,3
xor_electrode_classification,26,random_matched_full_trace,0.6,0.25,133.23211089866663,95.13092375333797,,3
xor_electrode_classification,26,zero_task_path_union,0.6,0.25,101.20878974689526,37.244092647360475,0.0035425583615784776,3
xor_electrode_classification,26,zero_all_task_inputs_outgoing,0.1333333333333333,0.25,90.49357807702944,80.44489659025764,0.023096167880074944,3
xor_electrode_classification,26,zero_all_task_targets_incoming,-0.025,0.25,97.94878543068887,77.96242563629495,0.04650174315123615,3
xor_electrode_classification,26,random_edge_count_matched_task_path_union,0.6,0.25,104.86853387607749,13.379194741312803,0.0035425583615784776,3
xor_electrode_classification,26,random_distance_matched_task_path_union,0.6,0.25,107.21148476916571,36.802693275875654,,3
xor_electrode_classification,26,zero_path_a_xor_correct,0.6,0.25,103.62005390172504,19.837110434000433,0.001134493767316266,3
xor_electrode_classification,26,zero_path_b_xor_correct,0.6,0.25,103.06759669475213,22.69978112216244,0.0011798110114652628,3
xor_electrode_classification,26,zero_path_a_b_conjunction_correct,0.6,0.25,103.2812876628443,21.870789280690342,0.001228253582796949,3
xor_electrode_classification,2,trained,0.6,0.25,104.01412265056562,0.0,,3
xor_electrode_classification,2,naive_replacement,-0.2,0.25,0.0,104.01412265056562,,3
xor_electrode_classification,2,zero_all,-0.15,0.25,197.89014091748976,232.15941848983718,,3
xor_electrode_classification,2,shuffle_magnitudes,-0.2,0.25,150.4301292144514,174.53818512609573,,3
xor_electrode_classification,2,anti_training_delta,0.6,0.25,106.56611769113702,35.5478468319373,,3
xor_electrode_classification,2,random_matched_full_trace,0.6,0.25,132.798854176961,94.80903893886922,,3
xor_electrode_classification,2,zero_task_path_union,0.6,0.25,100.26878389155446,39.56712273112696,0.003712882891048139,3
xor_electrode_classification,2,zero_all_task_inputs_outgoing,0.1333333333333333,0.25,89.71811559928253,80.13101035622653,0.02180068569571237,3
xor_electrode_classification,2,zero_all_task_targets_incoming,-0.15,0.25,96.81576497851421,77.97084793800423,0.04604693609028431,3
xor_electrode_classification,2,random_edge_count_matched_task_path_union,0.6,0.25,104.51065391171986,14.487050211021474,0.003712882891048139,3
xor_electrode_classification,2,random_distance_matched_task_path_union,0.6,0.25,107.46747567497793,39.03136837640422,,3
xor_electrode_classification,2,zero_path_a_xor_correct,0.6,0.25,102.52305314652509,25.281217240175994,0.0015454718767872937,3
xor_electrode_classification,2,zero_path_b_xor_correct,0.6,0.25,102.77206591584665,22.775408246349972,0.001193873118165311,3
xor_electrode_classification,2,zero_path_a_b_conjunction_correct,0.6,0.25,103.04673932506905,20.191533752718872,0.0009735378960955348,3
xor_electrode_classification,23,trained,0.6,0.25,105.42124574245052,0.0,,3
xor_electrode_classification,23,naive_replacement,-0.2,0.25,0.0,105.42124574245052,,3
xor_electrode_classification,23,zero_all,-0.05,0.25,197.64163643052976,232.95439431016885,,3
xor_electrode_classification,23,shuffle_magnitudes,0.4666666666666666,0.25,151.09345088850887,175.9716317196318,,3
xor_electrode_classification,23,anti_training_delta,0.6,0.25,108.55790911760425,35.7745448955335,,3
xor_electrode_classification,23,random_matched_full_trace,0.6,0.25,134.4184668640857,95.86084604095234,,3
