protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,replicates,task_output_dir
b2_static_shared_3s_50uA,conditioned_electrode_association,2.0,static,shared,3.0,50.0,160,689.3333333333334,0.0,1.0,1.0,60.0,1.0,0.9583333333333334,1.0,-0.0416666666666666,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,38.918529463859294,0.0,38.918529463859294,-0.2893599760068016,1.8857508147599827e-11,0.8242465031212781,1.0,-0.0621602772940989,245978.0,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b0_epoch_pause_shared_3s_50uA,conditioned_electrode_association,0.0,epoch_pause,shared,3.0,50.0,160,713.0,0.0,1.0,1.0,60.0,1.0,0.9583333333333334,1.0,-0.0416666666666666,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,37.63803495223723,0.0,37.63803495223723,-0.2854557666141514,1.8857508147599827e-11,0.8349456900638321,1.0,-0.0704549413327158,239175.0,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b0_epoch_pause_correlated_3s_50uA,conditioned_electrode_association,0.0,epoch_pause,correlated,3.0,50.0,160,403.6666666666667,0.0,1.0,1.0,60.0,1.0,0.9583333333333334,1.0,-0.0416666666666666,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,24.38547401706417,0.0,24.38547401706417,-0.1305942947157935,1.8857508147599827e-11,0.9141562920919094,1.0,-0.0335035171264205,94830.33333333331,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b0_gated_burst_shared_3s_50uA,conditioned_electrode_association,0.0,gated_burst,shared,3.0,50.0,160,1018.0,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,134.8983757035831,0.0,134.8983757035831,-1.773239854769433,1.8857508147599827e-11,0.39835941299428,1.0,-0.1098811551993736,614198.0,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b-2_gated_burst_shared_3s_50uA,conditioned_electrode_association,-2.0,gated_burst,shared,3.0,50.0,160,1011.3333333333334,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,132.73745017707327,0.0,132.73745017707327,-1.7345609107113449,1.8857508147599827e-11,0.4025806800661581,1.0,-0.1093096158610273,618815.0,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b2_gated_burst_shared_3s_50uA,conditioned_electrode_association,2.0,gated_burst,shared,3.0,50.0,160,1073.6666666666667,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,119.84475939240588,0.0,119.84475939240588,-1.5186185000718098,1.8857508147599827e-11,0.4431956039988987,1.0,-0.1100661583453006,607166.6666666666,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b-2_static_shared_3s_50uA,conditioned_electrode_association,-2.0,static,shared,3.0,50.0,160,1513.6666666666667,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,94.15979447196418,0.0,94.15979447196418,-1.0939791812565074,1.8857508147599827e-11,0.528095333969321,1.0,-0.1020152862718793,666373.0,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b2_gated_burst_correlated_3s_50uA,conditioned_electrode_association,2.0,gated_burst,correlated,3.0,50.0,160,637.3333333333334,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,63.25697184325454,0.0,63.25697184325454,-0.6073868156706613,1.8857508147599827e-11,0.6717621656732988,1.0,-0.0765023056899366,345530.0,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b-2_gated_burst_correlated_3s_50uA,conditioned_electrode_association,-2.0,gated_burst,correlated,3.0,50.0,160,610.0,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,60.758565772897974,0.0,60.758565772897974,-0.5670815271772399,1.8857508147599827e-11,0.6848050783877581,1.0,-0.0714061022412666,329947.3333333333,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b0_gated_burst_correlated_3s_50uA,conditioned_electrode_association,0.0,gated_burst,correlated,3.0,50.0,160,569.0,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,52.16546196506358,0.0,52.16546196506358,-0.4517779526893775,1.8857508147599827e-11,0.7379257697622766,1.0,-0.0685139457237809,297751.6666666667,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
