protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,initial_trials_to_criterion,initial_trials_for_savings,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,forgetting_score,criterion_score,score_drop,criterion_forget,made_forget,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,relearn_trials,relearn_measured,relearn_score,relearn_reached_criterion,relearn_savings,relearn_elapsed_s,replicates
b-2_chirp_shared_3s_50uA,overlapping_shared_target_association,-2.0,chirp,shared,3.0,50.0,160,3595.0,0.0,1.0,1.0,80.0,26.0,26.0,1.0,0.5833333333333333,1.0,-0.41666666666666674,0.41666666666666674,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.17466231612929,82.17466231612929,305.46333688424147,0.0,305.46333688424147,-2.836715740270291,1.2169265595218803e-11,0.22627563741695933,1.0,0.048760647133523634,2114442.0,0.0,0.0,1.0,0.5833333333333333,1.0,1.0,1.2773022470000228,1
b0_chirp_shared_3s_50uA,overlapping_shared_target_association,0.0,chirp,shared,3.0,50.0,160,2623.0,0.0,1.0,1.0,80.0,26.0,26.0,1.0,0.5833333333333333,1.0,-0.41666666666666674,0.41666666666666674,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.17466231612929,82.17466231612929,250.68768805889513,0.0,250.68768805889513,-2.2038290257100956,1.2169265595218803e-11,0.28899648065182754,1.0,0.02103020620061104,1454351.0,0.0,0.0,1.0,0.5833333333333333,1.0,1.0,1.1349711080000588,1
b-2_chirp_correlated_3s_50uA,overlapping_shared_target_association,-2.0,chirp,correlated,3.0,50.0,160,2098.0,0.0,1.0,1.0,80.0,26.0,26.0,1.0,0.5833333333333333,1.0,-0.41666666666666674,0.41666666666666674,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.17466231612929,82.17466231612929,198.38680284975027,0.0,198.38680284975027,-1.6090071872221023,1.2169265595218803e-11,0.3668893399953496,1.0,0.010743105722796792,1060711.0,0.0,0.0,1.0,0.5833333333333333,1.0,1.0,1.1365637609999908,1
b2_chirp_shared_3s_50uA,overlapping_shared_target_association,2.0,chirp,shared,3.0,50.0,160,1693.0,0.0,1.0,1.0,80.0,26.0,26.0,1.0,0.6666666666666667,1.0,-0.33333333333333326,0.33333333333333326,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.17466231612929,82.17466231612929,172.76236885343448,0.0,172.76236885343448,-1.3280902849805125,1.2169265595218803e-11,0.41965458242101816,1.0,-1.2967051002037295e-06,901982.0,0.0,0.0,1.0,0.6666666666666667,1.0,1.0,1.1011588909999546,1
b-2_static_shared_3s_50uA,overlapping_shared_target_association,-2.0,static,shared,3.0,50.0,160,1559.0,0.0,1.0,1.0,80.0,26.0,26.0,1.0,0.875,1.0,-0.125,0.125,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.17466231612929,82.17466231612929,109.14594080853867,0.0,109.14594080853867,-0.664748373059354,1.2169265595218803e-11,0.5971876393981127,1.0,-0.0036108299716331154,722624.0,0.0,0.0,1.0,0.875,1.0,1.0,1.1834069329999863,1
b0_chirp_correlated_3s_50uA,overlapping_shared_target_association,0.0,chirp,correlated,3.0,50.0,160,1437.0,0.0,1.0,1.0,80.0,26.0,26.0,1.0,0.875,1.0,-0.125,0.125,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.17466231612929,82.17466231612929,98.55518178619113,0.0,98.55518178619113,-0.5642373003931425,1.2169265595218803e-11,0.637020068835489,1.0,-0.004213541965324225,621137.0,0.0,0.0,1.0,0.875,1.0,1.0,1.10599131999993,1
b2_chirp_correlated_3s_50uA,overlapping_shared_target_association,2.0,chirp,correlated,3.0,50.0,160,992.0,0.0,1.0,1.0,80.0,26.0,26.0,1.0,0.875,1.0,-0.125,0.125,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.17466231612929,82.17466231612929,60.47907099574797,0.0,60.47907099574797,-0.24707657133967564,1.2169265595218803e-11,0.8049519953707525,1.0,-0.006765247116214559,376547.0,0.0,0.0,1.0,0.875,1.0,1.0,1.0756741280000597,1
b0_static_shared_3s_50uA,overlapping_shared_target_association,0.0,static,shared,3.0,50.0,160,1020.0,0.0,1.0,1.0,80.0,26.0,26.0,1.0,0.875,1.0,-0.125,0.125,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.17466231612929,82.17466231612929,51.77498737622025,0.0,51.77498737622025,-0.18436780673907327,1.2169265595218803e-11,0.8462359894799117,1.0,-0.0028755984712518523,354972.0,0.0,0.0,1.0,0.875,1.0,1.0,1.1000532430000476,1
b-2_static_correlated_3s_50uA,overlapping_shared_target_association,-2.0,static,correlated,3.0,50.0,160,908.0,0.0,1.0,1.0,80.0,26.0,26.0,1.0,0.9166666666666666,1.0,-0.08333333333333337,0.08333333333333337,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.17466231612929,82.17466231612929,49.08625543529024,0.0,49.08625543529024,-0.16943972701673782,1.2169265595218803e-11,0.8582198737360861,1.0,-0.005386789768816303,285167.0,0.0,0.0,1.0,0.9166666666666666,1.0,1.0,1.064276552000024,1
b0_static_correlated_3s_50uA,overlapping_shared_target_association,0.0,static,correlated,3.0,50.0,160,589.0,0.0,1.0,1.0,80.0,26.0,26.0,1.0,0.9166666666666666,1.0,-0.08333333333333337,0.08333333333333337,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.17466231612929,82.17466231612929,31.068074041342964,0.0,31.068074041342964,-0.07091022680836989,1.2169265595218803e-11,0.935172567907557,1.0,-0.0019545167425343,145593.0,0.0,0.0,1.0,0.9166666666666666,1.0,1.0,1.0754888609999398,1
