protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,initial_trials_to_criterion,initial_trials_for_savings,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,forgetting_score,criterion_score,score_drop,criterion_forget,made_forget,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,relearn_trials,relearn_measured,relearn_score,relearn_reached_criterion,relearn_savings,relearn_elapsed_s,replicates
b-2_chirp_shared_3s_50uA,multi_association_mapping,-2.0,chirp,shared,3.0,50.0,160,3526.0,-0.08333333333333333,0.9166666666666666,1.0,80.0,22.0,22.0,1.0,0.65625,0.9166666666666666,-0.26041666666666663,0.26041666666666663,0.3,1.0,0.0,0.0,-0.08333333333333333,-1.0,-1.0,111.90301048411793,111.90301048411793,298.6603012777006,0.0,298.6603012777006,-1.816582754242905,8.936296147510348e-12,0.29454225152961144,1.0,0.09500060450937974,2124318.0,0.0,0.0,1.0,0.65625,1.0,1.0,4.02971054600016,1
b0_chirp_shared_3s_50uA,multi_association_mapping,0.0,chirp,shared,3.0,50.0,160,2676.0,-0.08333333333333333,0.9166666666666666,1.0,80.0,22.0,22.0,1.0,0.65625,0.9166666666666666,-0.26041666666666663,0.26041666666666663,0.3,1.0,0.0,0.0,-0.08333333333333333,-1.0,-1.0,111.90301048411793,111.90301048411793,259.81751324777355,0.0,259.81751324777355,-1.5026459626021995,8.936296147510348e-12,0.35243765725941756,1.0,0.06378210882371899,1587443.0,0.0,0.0,1.0,0.65625,1.0,1.0,3.961291263000021,1
b-2_chirp_correlated_3s_50uA,multi_association_mapping,-2.0,chirp,correlated,3.0,50.0,160,2187.0,-0.08333333333333333,0.9166666666666666,1.0,80.0,22.0,22.0,1.0,0.65625,0.9166666666666666,-0.26041666666666663,0.26041666666666663,0.3,1.0,0.0,0.0,-0.08333333333333333,-1.0,-1.0,111.90301048411793,111.90301048411793,219.0698098564408,0.0,219.0698098564408,-1.18599623041572,8.936296147510348e-12,0.4287029000275126,1.0,0.02695740922566034,1191723.0,0.0,0.0,1.0,0.65625,1.0,1.0,3.8398472870001115,1
b-2_static_shared_3s_50uA,multi_association_mapping,-2.0,static,shared,3.0,50.0,160,1425.0,-0.08333333333333333,0.9166666666666666,1.0,80.0,22.0,22.0,1.0,0.6770833333333333,0.9166666666666666,-0.23958333333333337,0.23958333333333337,0.3,1.0,0.0,0.0,-0.08333333333333333,-1.0,-1.0,111.90301048411793,111.90301048411793,105.15156275285302,0.0,105.15156275285302,-0.3737004286899852,8.936296147510348e-12,0.7236105971455916,1.0,-0.0020394270119212373,660385.0,0.0,0.0,1.0,0.6770833333333333,1.0,1.0,3.753716770999972,1
b0_chirp_correlated_3s_50uA,multi_association_mapping,0.0,chirp,correlated,3.0,50.0,160,1504.0,-0.08333333333333333,0.9166666666666666,1.0,80.0,22.0,22.0,1.0,0.6979166666666667,0.9166666666666666,-0.2187499999999999,0.2187499999999999,0.3,1.0,0.0,0.0,-0.08333333333333333,-1.0,-1.0,111.90301048411793,111.90301048411793,126.96104303649405,0.0,126.96104303649405,-0.5081029263668893,8.936296147510348e-12,0.6510275635364915,1.0,0.006429663584285287,711277.0,0.0,0.0,1.0,0.6979166666666667,1.0,1.0,3.6705980090000594,1
b2_chirp_correlated_3s_50uA,multi_association_mapping,2.0,chirp,correlated,3.0,50.0,160,1130.0,-0.08333333333333333,0.9166666666666666,1.0,80.0,22.0,22.0,1.0,0.71875,0.9166666666666666,-0.19791666666666663,0.19791666666666663,0.3,1.0,0.0,0.0,-0.08333333333333333,-1.0,-1.0,111.90301048411793,111.90301048411793,95.06114750746455,0.0,95.06114750746455,-0.31987963328730507,8.936296147510348e-12,0.7604901168588563,1.0,-0.010219489464028128,499991.0,0.0,0.0,1.0,0.71875,1.0,1.0,3.746710312000232,1
b2_chirp_shared_3s_50uA,multi_association_mapping,2.0,chirp,shared,3.0,50.0,160,1703.0,-0.08333333333333333,0.9166666666666666,1.0,80.0,22.0,22.0,1.0,0.7395833333333333,0.9166666666666666,-0.17708333333333337,0.17708333333333337,0.3,1.0,0.0,0.0,-0.08333333333333333,-1.0,-1.0,111.90301048411793,111.90301048411793,151.75421755346878,0.0,151.75421755346878,-0.6841956905929476,8.936296147510348e-12,0.5835065509937659,1.0,0.0012768852221773039,879349.0,0.0,0.0,1.0,0.7395833333333333,1.0,1.0,3.7573362979997,1
b-2_epoch_pause_shared_3s_50uA,multi_association_mapping,-2.0,epoch_pause,shared,3.0,50.0,160,1254.0,-0.08333333333333333,0.9166666666666666,1.0,80.0,22.0,22.0,1.0,0.7395833333333333,0.9166666666666666,-0.17708333333333337,0.17708333333333337,0.3,1.0,0.0,0.0,-0.08333333333333333,-1.0,-1.0,111.90301048411793,111.90301048411793,103.4280759294741,0.0,103.4280759294741,-0.3633715021469288,8.936296147510348e-12,0.7293920712765984,1.0,-0.0022577014159575206,631314.0,0.0,0.0,1.0,0.7395833333333333,1.0,1.0,3.6675157800000306,1
b-2_gated_burst_shared_3s_50uA,multi_association_mapping,-2.0,gated_burst,shared,3.0,50.0,160,1143.0,-0.08333333333333333,0.9166666666666666,1.0,80.0,22.0,22.0,1.0,0.75,0.9166666666666666,-0.16666666666666663,0.16666666666666663,0.3,1.0,0.0,0.0,-0.08333333333333333,-1.0,-1.0,111.90301048411793,111.90301048411793,164.81014865142663,0.0,164.81014865142663,-0.7805823693470768,8.936296147510348e-12,0.5522329017282257,1.0,-0.0006748321691734853,730266.0,0.0,0.0,1.0,0.75,1.0,1.0,3.65655009399984,1
b0_gated_burst_shared_3s_50uA,multi_association_mapping,0.0,gated_burst,shared,3.0,50.0,160,1091.0,-0.08333333333333333,0.9166666666666666,1.0,80.0,22.0,22.0,1.0,0.75,0.9166666666666666,-0.16666666666666663,0.16666666666666663,0.3,1.0,0.0,0.0,-0.08333333333333333,-1.0,-1.0,111.90301048411793,111.90301048411793,154.018203897715,0.0,154.018203897715,-0.7031404231263314,8.936296147510348e-12,0.5801741550277266,1.0,-0.0031678958219093704,692726.0,0.0,0.0,1.0,0.75,1.0,1.0,3.637809533000109,1
