task_name,task_label,protocol_id,beta,schedule,spatial_mode,duration_s,current_uA,seeds,forgetting_score_mean,forgetting_score_sd,reset_score_mean,reset_minus_no_reset_weight_norm_mean,reset_norm_over_trace_norm_mean,erasure_projection_reset_vs_no_reset_mean,reset_to_erasure_axis_cosine_mean,reset_to_erasure_axis_abs_cosine_mean,reset_to_erasure_axis_angle_deg_mean,reset_orthogonal_fraction_mean,relearn_savings_mean
conditioned_electrode_association,Association,b-2_chirp_shared_3s_50uA,-2.0,chirp,shared,3.0,50.0,50,0.125,0.0,0.875,314.39232471448696,5.1475726315166215,0.07078848323166924,0.013830413964111278,0.013830413964111278,89.20754467420987,0.9998970664826394,1.0
multi_association_mapping,Multi-map,b0_chirp_shared_3s_50uA,0.0,chirp,shared,3.0,50.0,50,0.24499999999999994,0.03329078917645133,0.6516666666666667,248.69544506054692,2.232898587813729,0.04612787915810489,0.02065256535492391,0.02065256535492391,88.81660033953982,0.9997774694403506,1.0
overlapping_shared_input_association,Shared input,b-2_chirp_shared_3s_50uA,-2.0,chirp,shared,3.0,50.0,50,0.09375,0.0,0.65625,309.61942352468867,3.175149748779725,0.08362349962606831,0.026409123060561646,0.026409123060561646,88.48668308066433,0.9996447803034282,0.8
overlapping_shared_target_association,Shared target,b-2_chirp_shared_3s_50uA,-2.0,chirp,shared,3.0,50.0,50,0.3716666666666667,0.11162579209267656,0.5833333333333333,311.34357053990226,3.845462371797388,0.058491147521466474,0.015220604288746775,0.015220604288746775,89.12788723217658,0.9998810381765959,1.0
pattern_discrimination,Pattern,b-2_chirp_correlated_3s_50uA,-2.0,chirp,correlated,3.0,50.0,50,0.5275,0.12187418236251113,0.4375,213.27150465716682,2.50895427236002,0.004951088208766769,0.0020548998261350035,0.004043947520830162,89.88226084502458,0.9999857435039862,1.0
xor_electrode_classification,XOR,b-2_chirp_shared_3s_50uA,-2.0,chirp,shared,3.0,50.0,50,0.0749999999999999,0.0,0.525,308.1694994680566,2.9321416305386068,0.08831846638649683,0.03019395598790166,0.03019395598790166,88.26973802613936,0.9995366424587745,1.0
