task,task_label,seed,delta_norm,cosine_to_task_mean,angle_to_task_mean_deg,pc1,pc2,pc3,uncentered_pc1
conditioned_electrode_association,Association,1,1.1612572378837995,0.9395958386571214,20.01620680472111,-0.1550622412554464,-0.1472233463552692,-0.19983480225384825,-1.091745319238385
conditioned_electrode_association,Association,2,0.9944891623765929,0.9105634821246533,24.416662916862162,0.383560377190144,-0.11780043502374579,-0.10337195340591201,-0.9021406516902423
conditioned_electrode_association,Association,3,1.1812367686332612,0.9754818092069159,12.713736292168257,0.09322776327882278,-0.018800070479152962,0.0521002659397433,-1.151284250034335
conditioned_electrode_association,Association,4,1.2790290352593172,0.8486931101055397,31.930191912035948,0.05988454603992464,-0.13095677913213682,0.3687197256759245,-1.0847189388795682
conditioned_electrode_association,Association,5,1.0329679977137611,0.975566191495218,12.691749457198426,0.10157128318080076,-0.09723294611819881,0.03558590949323869,-1.0067090371083207
conditioned_electrode_association,Association,6,1.1724988407961623,0.9538256311142488,17.47928041493772,0.16700864736414617,0.06476597928165068,0.025289547198493186,-1.1171298988189942
conditioned_electrode_association,Association,7,1.2350203942498317,0.9532366854397447,17.59127806764081,-0.027010016891581987,0.28361713203500427,0.13166195879818798,-1.1784692121259581
conditioned_electrode_association,Association,8,1.188804187942124,0.9797525328434054,11.549375390287903,-0.012891482336272903,0.03294957736570604,0.11993037947343765,-1.164872760179432
conditioned_electrode_association,Association,9,1.3126617284445627,0.8155450606090919,35.358708053681916,0.015741156648702702,-0.3580448737712742,0.4431351047331681,-1.0696742893535187
conditioned_electrode_association,Association,10,1.3520729228159591,0.8912292431411192,26.971878253734346,0.08489616616078531,0.5816602460643338,0.05181821074310122,-1.2061567076018713
conditioned_electrode_association,Association,11,1.0653571867806126,0.9019393161333472,25.585835728837942,0.3781543213601839,-0.11901433603924799,-0.11746858427233799,-0.9572611319029891
conditioned_electrode_association,Association,12,1.2004069872646164,0.9558366788335263,17.091489707990256,0.07208432101632581,-0.1271257279213077,0.05966972159732873,-1.1461307878956501
conditioned_electrode_association,Association,13,1.2040829324890636,0.8305183092327768,33.84798224138797,0.34321375815684096,0.18532050604569783,-0.07820763312826372,-0.997641863821173
conditioned_electrode_association,Association,14,1.290302128204778,0.969031874693367,14.296254799619824,-0.11684554837593028,-0.05833438861558576,0.1608925761861809,-1.2507743980102832
conditioned_electrode_association,Association,15,1.145700783899979,0.9728701977878399,13.376661113797283,0.08123736590982059,-0.013208691740532037,0.03293917118757602,-1.1138931020656178
conditioned_electrode_association,Association,16,1.245952164589865,0.961878913448664,15.871196128280754,-0.1673214449048027,0.03817768689838975,-0.14574091323992114,-1.1995300055439766
conditioned_electrode_association,Association,17,1.1077543690408675,0.9334217392057841,21.025356269489386,0.11269254977919262,-0.22643447697666108,-0.23806179678382886,-1.0322069523169066
conditioned_electrode_association,Association,18,1.2858719151433273,0.9292904957137821,21.6755149975603,-0.1909485709189375,-0.15242723686746978,0.1707426716841004,-1.1959551693145092
conditioned_electrode_association,Association,19,1.3326959909206664,0.960470083841835,16.1637339951831,-0.08682835500960749,0.11234714214505191,-0.01552527482510102,-1.2807652556257807
conditioned_electrode_association,Association,20,1.3262197348395348,0.8573896178537571,30.97525927854307,0.0366398603170951,0.1229078305650696,-0.30593897057888103,-1.1370115180231268
conditioned_electrode_association,Association,21,1.456434505779488,0.8753245320340838,28.916592819580348,-0.09967275661953688,-0.11321099424534907,-0.19151123519520008,-1.2756231941356215
conditioned_electrode_association,Association,22,1.2707923587768268,0.9264350893672072,22.114241223034526,-0.18377801520888706,0.2420778652418703,-0.19041804438424376,-1.1791929715432672
conditioned_electrode_association,Association,23,1.1741273691857246,0.9334407930637311,21.022313240851748,-0.0680714237101721,-0.0982713169958551,-0.22000292573211716,-1.0958538968774703
conditioned_electrode_association,Association,24,1.176525641556859,0.9516854722990427,17.883015717409233,0.12678781220386764,0.2336564467819003,0.0046069454713464865,-1.1193766961204032
conditioned_electrode_association,Association,25,1.0782276580373908,0.9503257501108803,18.135004188164615,0.14225106605938362,-0.07092844577861496,0.0021498659932148254,-1.0232427749197412
conditioned_electrode_association,Association,26,0.9485061675326032,0.9541006990109256,17.426732909838368,0.03738239227530182,-0.1278140782724594,0.07774334610137887,-0.9049524023439639
conditioned_electrode_association,Association,27,1.1295496257783593,0.9642122711375425,15.374764888473905,-0.09607613687479075,0.029170567047766535,-0.010333784191058227,-1.0901433597985135
conditioned_electrode_association,Association,28,1.1615296246190232,0.9411179370922731,19.75984514063366,0.10129820591728203,-0.2597757495863552,0.03506226778909089,-1.0912600912263013
conditioned_electrode_association,Association,29,1.1661294967483375,0.9590292420173814,16.45768235510158,0.016169902513010453,0.15897047819325294,0.09605645356931038,-1.1186866853502033
conditioned_electrode_association,Association,30,1.0716314729183316,0.9239132425319508,22.494952362269295,0.2687224038779328,-0.18187396845155027,-0.09490220798421822,-0.9871504383806907
conditioned_electrode_association,Association,31,1.0245780679591723,0.9682614986604644,14.473922259464853,0.17722351651023863,-0.07787253291248065,0.011474633580829589,-0.9905513444059063
conditioned_electrode_association,Association,32,1.2748666387970098,0.8837686569621122,27.899629371486633,-0.20828080688879574,-0.14428198685922325,-0.07484817495237658,-1.1275635173907033
conditioned_electrode_association,Association,33,1.2793786932539555,0.9244308012471737,22.417319394398838,-0.07716752835855739,0.21218698238988057,-0.10623378783656065,-1.183630073122241
conditioned_electrode_association,Association,34,1.1412407023015532,0.9502774389328464,18.143895137944387,0.056550021071395964,0.15498637408016958,0.04144333913617316,-1.084751705304742
conditioned_electrode_association,Association,35,1.0213574969069856,0.9268975748574189,22.043744924696572,0.2908758319525926,-0.020053401134616945,-0.12468588810445927,-0.9442401871559705
conditioned_electrode_association,Association,36,1.3566376669337814,0.9418915339000898,19.628319614435362,-0.29567864968943985,0.02206414523614546,0.25163455854294725,-1.2800883089396402
