task,task_label,protocol_seed_trials,moving_trials,protocols,seeds,reset_minus_no_reset_weight_norm_mean,reset_minus_no_reset_weight_norm_sd,reset_minus_no_reset_weight_norm_median,reset_minus_no_reset_weight_norm_q025,reset_minus_no_reset_weight_norm_q975,reset_norm_over_trace_norm_mean,reset_norm_over_trace_norm_sd,reset_norm_over_trace_norm_median,reset_norm_over_trace_norm_q025,reset_norm_over_trace_norm_q975,erasure_projection_reset_vs_no_reset_mean,erasure_projection_reset_vs_no_reset_sd,erasure_projection_reset_vs_no_reset_median,erasure_projection_reset_vs_no_reset_q025,erasure_projection_reset_vs_no_reset_q975,reset_to_erasure_axis_cosine_mean,reset_to_erasure_axis_cosine_sd,reset_to_erasure_axis_cosine_median,reset_to_erasure_axis_cosine_q025,reset_to_erasure_axis_cosine_q975,reset_to_erasure_axis_abs_cosine_mean,reset_to_erasure_axis_abs_cosine_sd,reset_to_erasure_axis_abs_cosine_median,reset_to_erasure_axis_abs_cosine_q025,reset_to_erasure_axis_abs_cosine_q975,reset_to_erasure_axis_angle_deg_mean,reset_to_erasure_axis_angle_deg_sd,reset_to_erasure_axis_angle_deg_median,reset_to_erasure_axis_angle_deg_q025,reset_to_erasure_axis_angle_deg_q975,reset_to_erasure_axis_unsigned_angle_deg_mean,reset_to_erasure_axis_unsigned_angle_deg_sd,reset_to_erasure_axis_unsigned_angle_deg_median,reset_to_erasure_axis_unsigned_angle_deg_q025,reset_to_erasure_axis_unsigned_angle_deg_q975,reset_orthogonal_fraction_mean,reset_orthogonal_fraction_sd,reset_orthogonal_fraction_median,reset_orthogonal_fraction_q025,reset_orthogonal_fraction_q975,forgetting_score_mean,forgetting_score_sd,forgetting_score_median,forgetting_score_q025,forgetting_score_q975,reset_score_mean,reset_score_sd,reset_score_median,reset_score_q025,reset_score_q975,no_reset_score_mean,no_reset_score_sd,no_reset_score_median,no_reset_score_q025,no_reset_score_q975,relearn_savings_mean,relearn_savings_sd,relearn_savings_median,relearn_savings_q025,relearn_savings_q975
conditioned_electrode_association,Association,3000,2250,60,50,57.05283738614934,69.31616693725756,34.31422383539798,0.12537566459240543,264.5537313629668,0.9341614374887738,1.136629244878791,0.5626565049017773,0.0020061436789132153,4.4033478644392545,-0.007093274460925951,0.017144773557867997,-0.00678501500057075,-0.031263285654421095,0.04266546755978202,-0.009975109929957602,0.014209834929966138,-0.00942741280066941,-0.03399927047291373,0.015678982199353847,0.013059133697803866,0.011438953945304012,0.011708523876681223,0.0,0.03509076457274201,90.57157537968527,0.8144550516947454,90.54015896661261,89.10162368144614,91.94839020137334,89.25167462336478,0.6556987455675308,89.32913566868939,87.98903444057181,90.0,0.9998492738671511,0.00031161770910840327,0.9999314526259584,0.9993841289265785,1.0,0.02061111111111111,0.046395341001196036,0.0,0.0,0.125,0.9793888888888889,0.046395341001196036,1.0,0.875,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
multi_association_mapping,Multi-map,3000,2246,60,50,60.468654584357424,69.73607821750137,36.754179149597135,0.12961583562360285,261.9231778096748,0.5429083290800919,0.6263986854497732,0.3321607008166081,0.0011574100145530539,2.341726744663295,-0.002699508713251474,0.018673475558619916,-0.0047853917618249,-0.020521790916121586,0.056715211612350575,-0.011134355793924395,0.018091163567544272,-0.01161764603251644,-0.04036742920991144,0.031847995602930806,0.016928273039097663,0.01283063621918415,0.015520418263657552,0.0,0.04136217352988984,90.6380383773127,1.0367523273158954,90.66565706003644,88.17493565106022,92.31351193645769,89.0299472199356,0.7353285941929835,89.11070983222834,87.62944575915903,90.0,0.9997743796441886,0.00026736136954162856,0.9998795510410429,0.9991442180619678,1.0,0.07677537845057876,0.08782215816088994,0.03125,0.0,0.2604166666666666,0.8195171044820422,0.08797062174784019,0.8333333333333334,0.65625,0.9166666666666666,0.896292482932621,0.03347356782446951,0.9166666666666666,0.8333333333333334,0.9166666666666666,1.0,0.0,1.0,1.0,1.0
overlapping_shared_input_association,Shared input,3000,2245,60,50,59.6918985063364,69.33058993316473,36.61486755065736,0.12972372745278288,261.7774307939293,0.6120100870858086,0.7115309594281812,0.37644742163613437,0.0013397973680405945,2.7036446439682726,0.0011337119834318701,0.016763070303120742,-0.0004781252080339,-0.01519591019183755,0.06248495731674406,-0.003763770337595414,0.013855473287097075,-0.0032216678889550854,-0.026588886297274617,0.025893507082297818,0.010536085449027946,0.009751300123553398,0.008723164217259322,0.0,0.030230028315286477,90.21564061285646,0.7940488459145058,90.1845882923423,88.51624549236219,91.5236105269635,89.39626987211936,0.5589120412786972,89.5001931675318,88.26768304682774,90.0,0.999896938867007,0.00023890273044713294,0.9999619524792124,0.9995429681643987,1.0,0.01765033407572383,0.03411180361448343,0.0,0.0,0.09375,0.7323496659242762,0.03411180361448343,0.75,0.65625,0.75,0.75,0.0,0.75,0.75,0.75,0.800890868596882,0.3994192632922843,1.0,0.0,1.0
overlapping_shared_target_association,Shared target,3000,2244,60,50,57.352718065868004,68.5872268617138,35.1164353961599,0.12984534965593675,262.18700465418624,0.7082892526562501,0.848025279231811,0.4398975118153442,0.0016276534620295667,3.2695053171810984,-0.00038102239590862604,0.011141222219709724,-0.0007041973538879,-0.011872291651230852,0.0355506775313883,-0.0018216723228800264,0.010080428839421554,-0.001682476211303163,-0.018019380777824934,0.01893891978657113,0.007178078971908014,0.007306656281325634,0.005658267840712874,0.0,0.021917706812144094,90.1043625709813,0.5776704666253012,90.09639883153491,88.91481494777531,91.03249034846287,89.58870129107332,0.41875711606479793,89.67580340344284,88.74410733092633,90.0,0.999947542374989,0.00015574462362496,0.9999839918705398,0.9997597732002915,1.0,0.05083927510398098,0.1312826727101117,0.0,-0.2083333333333332,0.4166666666666667,0.9036690433749258,0.13920456254595837,0.9583333333333334,0.5833333333333333,1.0,0.9545083184789068,0.11103050795194333,1.0,0.6666666666666667,1.0,1.0,0.0,1.0,1.0,1.0
pattern_discrimination,Pattern,3000,2245,60,50,58.66564720402933,69.4072872125257,35.476729069579434,0.1298619712233198,262.8843217707729,0.6901317982852087,0.8171552188035014,0.41912136699337904,0.0015309313563262254,3.0906454332438558,-0.007043265989819797,0.015794315767123288,-0.0074350055831968,-0.028472830988402687,0.03794291800493872,-0.012868867324999783,0.016345174927282994,-0.013492240571539346,-0.03956059747637377,0.019113437764467615,0.01638282789874784,0.012819112035817919,0.01511866580230588,0.0,0.03975308490881622,90.73742739783954,0.9367550495653393,90.77307189720722,88.90481399429488,92.26724692193352,89.06120049128737,0.7347205258683924,89.1337312544282,87.72171567776574,90.0,0.9997836046464365,0.00030072440764442954,0.9998857064406702,0.9992095335397796,1.0,0.18775055679287306,0.2358657799197831,0.0625,0.0,0.5625,0.7760579064587974,0.23997327212296954,0.9375,0.4375,1.0,0.9638084632516704,0.12276023712752858,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0
xor_electrode_classification,XOR,3000,2249,60,50,59.31909264244594,68.79303645391656,36.80818605442594,0.1257838601050947,260.6673813669159,0.5642490276143277,0.6548463841861714,0.3514232852138633,0.0011691693509535345,2.485216416594149,0.005884285105835111,0.016525460452680416,0.0005609351622403,-0.005045559103943519,0.06536087372763603,0.005397831635378222,0.011140864380662545,0.0030429629506969827,-0.010529118944763771,0.031323478352403115,0.008153967978288301,0.009314055866396944,0.0056668621915937955,0.0,0.031323478352403115,89.69068164394434,0.6385190247119557,89.82565079664168,88.20500327291118,90.6032852288866,89.5327643199798,0.5338732605426357,89.67531097551613,88.20500327291118,90.0,0.9999233683115716,0.00023931748846183,0.9999839432075405,0.9995092959620875,1.0,0.014072921298354807,0.02731368493530552,0.0,0.0,0.0749999999999999,0.5859270787016452,0.027313684935305543,0.6,0.525,0.6,0.6000000000000001,1.1104699328956674e-16,0.6,0.6,0.6,1.0,0.0,1.0,1.0,1.0
