task_name,task_label,protocol_id,beta,schedule,spatial_mode,duration_s,current_uA,seeds,forgetting_score_mean,forgetting_score_sd,reset_score_mean,reset_minus_no_reset_weight_norm_mean,reset_norm_over_trace_norm_mean,erasure_projection_reset_vs_no_reset_mean,reset_to_erasure_axis_cosine_mean,reset_to_erasure_axis_abs_cosine_mean,reset_to_erasure_axis_angle_deg_mean,reset_orthogonal_fraction_mean,relearn_savings_mean
conditioned_electrode_association,Association,b-2_static_shared_3s_10uA,-2.0,static,shared,3.0,10.0,50,0.0,0.0,1.0,0.13694233939580092,0.0022250753231416306,2.7759124461033156e-06,0.001002895488231337,0.001002895488231337,89.9425363701992,0.9999957629171838,1.0
conditioned_electrode_association,Association,b-2_static_shared_3s_50uA,-2.0,static,shared,3.0,50.0,50,0.05,0.06185895741317418,0.95,102.16975095299098,1.673286035674086,-0.018367866656203755,-0.011183443114210781,0.011590983649019554,90.64079242822278,0.9999138740483537,1.0
conditioned_electrode_association,Association,b0_alternating_blue_red_correlated_3s_10uA,0.0,alternating_blue_red,correlated,3.0,10.0,50,0.0,0.0,1.0,0.008082501165133309,0.0001336568933246576,0.0,0.0,0.0,90.0,1.0,1.0
conditioned_electrode_association,Association,b0_alternating_blue_red_correlated_3s_50uA,0.0,alternating_blue_red,correlated,3.0,50.0,50,0.0075,0.029987242185261904,0.9925,32.2517516945414,0.5280859513306378,-0.009382679309405603,-0.017675916706057653,0.017682768932104916,91.01283982905592,0.999812034505221,1.0
conditioned_electrode_association,Association,b0_alternating_blue_red_shared_3s_10uA,0.0,alternating_blue_red,shared,3.0,10.0,50,0.0,0.0,1.0,0.08245907082424526,0.0013578389554458991,-2.0878776892146693e-06,-0.0016354271147400782,0.0017108985786153527,90.09371313806561,0.9999936969875419,1.0
conditioned_electrode_association,Association,b0_alternating_blue_red_shared_3s_50uA,0.0,alternating_blue_red,shared,3.0,50.0,50,0.015,0.04103259033241449,0.985,54.21251548993506,0.8870162891200075,-0.020560533923291126,-0.023176869019882043,0.023176869019882043,91.32808881261013,0.9997061684857858,1.0
conditioned_electrode_association,Association,b0_chirp_correlated_3s_10uA,0.0,chirp,correlated,3.0,10.0,50,0.0,0.0,1.0,1.0749997282051629,0.01757731448800877,0.00010751220368823438,0.004483722671040978,0.01034148277537263,89.74295390510429,0.9997038828587879,1.0
conditioned_electrode_association,Association,b0_chirp_correlated_3s_50uA,0.0,chirp,correlated,3.0,50.0,50,0.0775,0.06128929393475184,0.9225,112.06577352728613,1.8346554056341233,-0.01891961402737706,-0.010304064326290763,0.010304064326290763,90.59039568533319,0.9999372410889776,1.0
conditioned_electrode_association,Association,b0_chirp_shared_3s_10uA,0.0,chirp,shared,3.0,10.0,50,0.0025,0.017677669529663684,0.9975,4.369731063990382,0.07167197865123427,-7.138312304291448e-05,-0.0027381122934571163,0.008656923573640798,90.15693364342614,0.999892078760848,1.0
conditioned_electrode_association,Association,b0_chirp_shared_3s_50uA,0.0,chirp,shared,3.0,50.0,50,0.1225,0.017677669529663688,0.8775,250.88919286406923,4.107308779117372,0.027727970050174525,0.006807467744030183,0.006953835110002733,89.60995484062309,0.9999686848200651,1.0
conditioned_electrode_association,Association,b0_epoch_pause_correlated_3s_10uA,0.0,epoch_pause,correlated,3.0,10.0,50,0.0,0.0,1.0,0.00360487413722921,5.4862114570361496e-05,0.0,0.0,0.0,90.0,1.0,1.0
conditioned_electrode_association,Association,b0_epoch_pause_correlated_3s_50uA,0.0,epoch_pause,correlated,3.0,50.0,50,0.0125,0.037880720420707906,0.9875,25.87285615276518,0.42361503528386796,-0.005373626402236016,-0.012819918528591823,0.014148944606906345,90.7345874552633,0.9998631993587987,1.0
conditioned_electrode_association,Association,b0_epoch_pause_shared_3s_10uA,0.0,epoch_pause,shared,3.0,10.0,50,0.0,0.0,1.0,0.014221259081895817,0.00022849849663701276,-5.295759429726205e-08,-0.00040364714697134317,0.00040364714697134317,90.02312728798236,0.9999999739310199,1.0
conditioned_electrode_association,Association,b0_epoch_pause_shared_3s_50uA,0.0,epoch_pause,shared,3.0,50.0,50,0.0375,0.057863756235784464,0.9625,41.23052097636349,0.6751601428008135,-0.015712831014398784,-0.023372913122550035,0.023372913122550035,91.33933582760095,0.999693715913081,1.0
conditioned_electrode_association,Association,b0_gated_burst_correlated_3s_10uA,0.0,gated_burst,correlated,3.0,10.0,50,0.0,0.0,1.0,0.7769276925889314,0.012686553606503557,8.011052372605805e-05,0.0024696204782305073,0.003436473035873947,89.85798778348577,0.9998103831569718,1.0
conditioned_electrode_association,Association,b0_gated_burst_correlated_3s_50uA,0.0,gated_burst,correlated,3.0,50.0,50,0.0,0.0,1.0,61.080243303155974,0.9998115989153196,-0.022225626269456792,-0.022437981785008262,0.022437981785008262,91.28572395289835,0.9997368650913516,1.0
conditioned_electrode_association,Association,b0_gated_burst_shared_3s_10uA,0.0,gated_burst,shared,3.0,10.0,50,0.0,0.0,1.0,4.542897312056575,0.0745555871791267,-0.00030641272857506486,-0.005085596500813843,0.00880044129024922,90.29156035838795,0.999835598284818,1.0
conditioned_electrode_association,Association,b0_gated_burst_shared_3s_50uA,0.0,gated_burst,shared,3.0,50.0,50,0.0,0.0,1.0,143.67040324113609,2.352904828789871,-0.01859211445587776,-0.007947676356110048,0.007947676356110048,90.45537741803744,0.9999596143295354,1.0
conditioned_electrode_association,Association,b0_static_correlated_3s_10uA,0.0,static,correlated,3.0,10.0,50,0.0,0.0,1.0,0.012797789981867562,0.000208439411487844,0.0,0.0,0.0,90.0,1.0,1.0
conditioned_electrode_association,Association,b0_static_correlated_3s_50uA,0.0,static,correlated,3.0,50.0,50,0.005,0.024743582965269677,0.995,33.96583241381948,0.5562704493566359,-0.009395381681034275,-0.016779624192193646,0.01717613623243426,90.9614838507037,0.9998186464294565,1.0
conditioned_electrode_association,Association,b0_static_shared_3s_10uA,0.0,static,shared,3.0,10.0,50,0.0,0.0,1.0,0.029881048516543135,0.00048649473037102307,6.153452845938443e-09,1.4916435944846924e-05,1.4916435944846924e-05,89.99914535117041,0.9999999996796,1.0
conditioned_electrode_association,Association,b0_static_shared_3s_50uA,0.0,static,shared,3.0,50.0,50,0.0325,0.055385937211681516,0.9675,55.3441644200714,0.906259745576667,-0.021557270136415712,-0.023838549830628705,0.023838549830628705,91.36602084376781,0.9996841944007105,1.0
conditioned_electrode_association,Association,b2_alternating_blue_red_correlated_3s_10uA,2.0,alternating_blue_red,correlated,3.0,10.0,50,0.0,0.0,1.0,0.008082501165133309,0.0001336568933246576,0.0,0.0,0.0,90.0,1.0,1.0
conditioned_electrode_association,Association,b2_alternating_blue_red_correlated_3s_50uA,2.0,alternating_blue_red,correlated,3.0,50.0,50,0.0075,0.029987242185261904,0.9925,32.2517516945414,0.5280859513306378,-0.009382679309405603,-0.017675916706057653,0.017682768932104916,91.01283982905592,0.999812034505221,1.0
conditioned_electrode_association,Association,b2_alternating_blue_red_shared_3s_10uA,2.0,alternating_blue_red,shared,3.0,10.0,50,0.0,0.0,1.0,0.08245907082424526,0.0013578389554458991,-2.0878776892146693e-06,-0.0016354271147400782,0.0017108985786153527,90.09371313806561,0.9999936969875419,1.0
