task,task_label,seed_i,seed_j,cosine,angle_deg
conditioned_electrode_association,Association,1,2,0.831793090209743,33.71662527798522
conditioned_electrode_association,Association,1,3,0.9088332098018747,24.655395496979946
conditioned_electrode_association,Association,1,4,0.7735250608527149,39.32849978085393
conditioned_electrode_association,Association,1,5,0.9006669125304271,25.75413115071285
conditioned_electrode_association,Association,1,6,0.8548015762823115,31.262179302570484
conditioned_electrode_association,Association,1,7,0.8542454330079108,31.323526810456645
conditioned_electrode_association,Association,1,8,0.9067764801541482,24.936381942420848
conditioned_electrode_association,Association,1,9,0.7526252681269132,41.18169866637997
conditioned_electrode_association,Association,1,10,0.7776425009764714,38.95477105845276
conditioned_electrode_association,Association,1,11,0.8312213515107197,33.77559450094181
conditioned_electrode_association,Association,1,12,0.8949498707575099,26.498008416662103
conditioned_electrode_association,Association,1,13,0.7364942835374597,42.56636762607084
conditioned_electrode_association,Association,1,14,0.9082191955287034,24.739593981538142
conditioned_electrode_association,Association,1,15,0.9092116735622997,24.60336301946935
conditioned_electrode_association,Association,1,16,0.9663209098483012,14.912288220915872
conditioned_electrode_association,Association,1,17,0.9332006713625767,21.06063159534569
conditioned_electrode_association,Association,1,18,0.8615453530445117,30.50945965401447
conditioned_electrode_association,Association,1,19,0.8847283810236986,27.781885707960697
conditioned_electrode_association,Association,1,20,0.8051244743126088,36.37772180355129
conditioned_electrode_association,Association,1,21,0.8552169876704527,31.216285082582694
conditioned_electrode_association,Association,1,22,0.9017583393844686,25.609835644590916
conditioned_electrode_association,Association,1,23,0.9415010209654979,19.694819341311835
conditioned_electrode_association,Association,1,24,0.8622072733552544,30.43467385408071
conditioned_electrode_association,Association,1,25,0.8588154764969309,30.816156313061434
conditioned_electrode_association,Association,1,26,0.8956303867925587,26.4104838667382
conditioned_electrode_association,Association,1,27,0.8882750323063214,27.342717771345058
conditioned_electrode_association,Association,1,28,0.886636667139381,27.546392077884416
conditioned_electrode_association,Association,1,29,0.8585081917704042,30.8505068675468
conditioned_electrode_association,Association,1,30,0.8703259064597396,29.503465959765418
conditioned_electrode_association,Association,1,31,0.9076125275405307,24.82252218543608
conditioned_electrode_association,Association,1,32,0.8720034322783767,29.30770749102348
conditioned_electrode_association,Association,1,33,0.8788596120951688,28.494896378065977
conditioned_electrode_association,Association,1,34,0.8475463925737061,32.05420402786824
conditioned_electrode_association,Association,1,35,0.8551690365700568,31.221585766428465
conditioned_electrode_association,Association,1,36,0.8770124444121745,28.715950081444877
conditioned_electrode_association,Association,1,37,0.9252753123329891,22.29009358889898
conditioned_electrode_association,Association,1,38,0.9039795838510738,25.313801088405018
conditioned_electrode_association,Association,1,39,0.7697894491272941,39.6650146670859
conditioned_electrode_association,Association,1,40,0.8625605484035119,30.394691673993478
conditioned_electrode_association,Association,1,41,0.9294550835872051,21.649968789948595
conditioned_electrode_association,Association,1,42,0.8591165200678313,30.78246992783867
conditioned_electrode_association,Association,1,43,0.9353585758393468,20.713847223230307
conditioned_electrode_association,Association,1,44,0.8972238645660193,26.204477494671067
conditioned_electrode_association,Association,1,45,0.8844418198903388,27.81709045139052
conditioned_electrode_association,Association,1,46,0.8810209481362612,28.234233931302995
conditioned_electrode_association,Association,1,47,0.9472313960744957,18.69622563999832
conditioned_electrode_association,Association,1,48,0.9140520914140147,23.92853187837207
conditioned_electrode_association,Association,1,49,0.8590542723277629,30.78943809486487
conditioned_electrode_association,Association,1,50,0.9288193151382935,21.748490503566607
conditioned_electrode_association,Association,2,3,0.9225422759117589,22.699378425533432
conditioned_electrode_association,Association,2,4,0.7565511145171497,40.838912076921474
conditioned_electrode_association,Association,2,5,0.9287078856189879,21.765714441045485
conditioned_electrode_association,Association,2,6,0.9233237257358027,22.583070639259716
