task,task_label,seeds,features,delta_norm_mean,delta_norm_sd,mean_axis_norm,mean_axis_fraction_of_mean_norm,mean_axis_cosine_mean,mean_axis_angle_deg_mean,pca_top1_variance_explained,pca_top2_variance_explained,pca_top3_variance_explained,pca_top5_variance_explained,pca_participation_ratio,svd_top1_variance_explained,svd_top2_variance_explained,svd_top5_variance_explained,svd_participation_ratio,centered_singular_values_top10,uncentered_singular_values_top10,pca_components_50,pca_components_80,pca_components_90,pca_components_95,pairwise_cosine_mean,pairwise_cosine_sd,pairwise_cosine_median,pairwise_cosine_q025,pairwise_cosine_q975,pairwise_angle_deg_mean,pairwise_angle_deg_sd,pairwise_angle_deg_median,pairwise_angle_deg_q025,pairwise_angle_deg_q975,pca_top1_bootstrap_mean,pca_top1_bootstrap_q025,pca_top1_bootstrap_q975,pca_top2_bootstrap_mean,pca_top2_bootstrap_q025,pca_top2_bootstrap_q975,pca_top5_bootstrap_mean,pca_top5_bootstrap_q025,pca_top5_bootstrap_q975,pca_participation_ratio_bootstrap_mean,pca_participation_ratio_bootstrap_q025,pca_participation_ratio_bootstrap_q975,pc_count_50_bootstrap_mean,pc_count_50_bootstrap_q025,pc_count_50_bootstrap_q975,pc_count_80_bootstrap_mean,pc_count_80_bootstrap_q025,pc_count_80_bootstrap_q975,pc_count_90_bootstrap_mean,pc_count_90_bootstrap_q025,pc_count_90_bootstrap_q975,pc_count_95_bootstrap_mean,pc_count_95_bootstrap_q025,pc_count_95_bootstrap_q975
conditioned_electrode_association,Association,50,4096,1.1926771144031554,0.1111408148798341,1.1121013847219334,0.9324412879997752,0.9338868851279876,20.151154362564874,0.17871866408191522,0.32407361566123183,0.4302761659969128,0.6000991875709637,10.980836930370725,0.8684529386133559,0.8908842571506597,0.9371608115879504,1.323153368457666,1.32953|1.19903|1.0249|0.960747|0.86985|0.722489|0.676778|0.670836|0.610774|0.580789,7.89262|1.26846|1.16334|1.02201|0.959957|0.864317|0.708166|0.671018|0.663473|0.604701,4,10,14,19,0.869612618317661,0.06344707466433779,0.8836506541960921,0.7338059883946627,0.9602816348319185,28.74407159603092,7.357981012505324,27.914074986052107,16.202269277336747,42.79356777417942,0.21919886301065128,0.1735369835989683,0.2778112832083214,0.3842368176010489,0.3230258648622602,0.46108138101733154,0.6797184133545852,0.6152108237568635,0.746783257299369,8.587661953999316,6.907263772008482,10.153852416417301,3.431,3.0,4.0,7.842,6.975000000000001,9.0,11.332,10.0,13.0,14.959,13.0,17.0
multi_association_mapping,Multi-map,50,4096,2.4206403464269335,0.11140641313827486,2.2516242072629273,0.930177095736883,0.930380497204809,21.31242129997458,0.10662427575492116,0.1888381818670093,0.26483606890464273,0.38363989936264226,20.90076548696498,0.8652258544803588,0.8797861990539024,0.909465636346825,1.3342486998864858,2.06757|1.81553|1.74555|1.60802|1.47561|1.43668|1.37024|1.32055|1.30439|1.25546,15.9379|2.06753|1.81545|1.71585|1.5727|1.46183|1.42582|1.37007|1.32049|1.27248,8,18,27,34,0.8628769492387344,0.03410036974846247,0.8641367226136464,0.7934562801376899,0.9201041925332634,30.135459807144386,3.8672569789344275,30.215724026053664,23.058624437285395,37.490309989084246,0.1424524016974192,0.11548932849347922,0.18477513354759284,0.25253513218676876,0.21562078873953017,0.2997411534448037,0.4908579882746644,0.4476229880367106,0.5425573216426547,14.634404634318031,12.246156040153762,16.61136591312418,5.674,5.0,6.0,12.998,11.0,15.0,18.167,16.0,20.0,22.516,20.0,25.0
overlapping_shared_input_association,Shared input,50,4096,2.5615171169465656,0.162563498807654,2.2569881067355078,0.8811138101727507,0.8812891175366032,28.05179782169375,0.09413633068674514,0.1748425782891801,0.24580234292609035,0.3678373652781925,22.698088907345134,0.7767754735520185,0.7974738432797087,0.8449119631420958,1.651346150393336,2.65114|2.45476|2.30176|2.15422|2.11446|1.88243|1.79573|1.74836|1.73534|1.61289,15.995|2.61099|2.43506|2.2614|2.14031|2.10931|1.87838|1.79553|1.74828|1.73328,9,20,28,34,0.7721469817282628,0.04705687376024225,0.7743670504885072,0.6783580378334576,0.8601436035898555,39.257371583788654,4.283990621025232,39.25231761696288,30.667284067861928,47.284525220503305,0.13221040807075374,0.10992199996645469,0.16537264540593927,0.2387393647355517,0.20680547670507604,0.27915034352553864,0.47150590714736107,0.43017434921436265,0.5221241427184089,15.57006146488496,13.254653029890843,17.646495782829735,5.983,5.0,7.0,13.73,12.0,15.0,18.881,17.0,21.0,22.954,20.0,26.0
overlapping_shared_target_association,Shared target,50,4096,1.6598007782600641,0.10624783568620838,1.5383668469408507,0.9268382489574982,0.9275198586932857,21.61482450651954,0.1307750290440944,0.25011979439124,0.3528773949899612,0.5033915326629903,14.553035173171859,0.8584370642839673,0.877134545838187,0.9197679323628654,1.354462154481028,1.6161|1.54385|1.43256|1.2488|1.2027|1.13619|1.05724|0.941432|0.865607|0.769614,10.896|1.60806|1.52915|1.41776|1.24413|1.1962|1.09911|1.05719|0.936283|0.862013,5,13,19,25,0.8574681386280106,0.04534928167612471,0.8600417400675684,0.7640247364248046,0.9342279954350394,30.583181199630786,5.114524644697104,30.678730213936568,20.896164502000204,40.179693842099475,0.17612026958254018,0.14241113134822758,0.22516650884913228,0.3132439179847992,0.26942022967817764,0.3689797776288692,0.5899645511503286,0.5397321706504853,0.643885594423168,11.128665528931212,9.304050680514285,12.728554265868809,4.292,4.0,5.0,10.015,9.0,11.0,14.449,13.0,16.0,18.444,16.0,20.0
pattern_discrimination,Pattern,50,4096,1.7096304212827746,0.10663083629257178,1.584010830228528,0.9265223702793078,0.9270174306934399,21.653313327689112,0.14040049689018352,0.2524544013177585,0.3311701819400875,0.4759320344193243,15.803197028883265,0.8582759844979806,0.8785555918565084,0.9160489827502113,1.3551747008500719,1.72706|1.54289|1.29316|1.25314|1.22679|1.0613|0.998375|0.94844|0.866058|0.825359,11.2209|1.72482|1.5056|1.29062|1.25209|1.20004|1.0293|0.966227|0.948439|0.860858,6,15,21,27,0.8565134475823529,0.04687030920420896,0.8587829660028463,0.7569476032304983,0.9358955643062218,30.669018859104884,5.259806782604174,30.819792208757615,20.62668110085101,40.80414999811999,0.17478204223779625,0.1396363870290895,0.22082899730470568,0.3075475831963994,0.261209218732097,0.36216719908169315,0.5668247704723508,0.5185875004561253,0.6226705468309108,11.70684421545226,9.770785459856718,13.532342569095254,4.573,4.0,5.0,10.809,9.0,12.0,15.273,13.0,17.0,19.321,17.0,22.0
xor_electrode_classification,XOR,50,4096,2.718738956668442,0.16551606922694906,2.39857546342459,0.8822382367904191,0.882535009011728,27.936334024339068,0.08727925598632047,0.15829692123185957,0.22037451918528994,0.33573587880476574,24.836951471244696,0.7783559803987187,0.79778266373848,0.8399630346426098,1.6452452643886044,2.69573|2.43167|2.27347|2.2244|2.15805|1.98329|1.9602|1.88015|1.77921|1.73672,16.9914|2.68435|2.35699|2.26836|2.22366|2.1477|1.97614|1.96019|1.86614|1.77773,9,21,29,35,0.7743808627375803,0.041644537869525655,0.7761767537419758,0.6874608157601682,0.8519319090008536,39.09638729067637,3.7990024503149438,39.08815672927051,31.577579154861237,46.57055431160235,0.12479538618356796,0.10251033950342354,0.16361631445909475,0.22532604563227762,0.19335133482282665,0.2735954321856144,0.449345900372287,0.40580402289522816,0.5083960152136336,16.562917710824266,13.68350783291132,18.929198590081604,6.382,5.0,7.0,14.431,12.0,16.0,19.578,17.0,22.0,23.636,21.0,26.024999999999977
