duration_s,seed,residual_trace_correlation,weight_erasure,protocols
0.75,1,0.9999428445471674,-0.7451153121457621,180
0.75,3,0.9999929873148384,-0.283005806629385,180
0.75,4,0.999993928638756,-0.2836788897920244,180
1.5,1,0.9999196922190544,-1.4539839688671474,180
1.5,3,0.9999893473370772,-0.5531200357587513,180
1.5,4,0.9999891227107404,-0.5538771967752436,180
3.0,1,0.9999012892645086,-3.1772387082042206,180
3.0,3,0.9999836529884484,-1.2101533788339751,180
3.0,4,0.9999828555476096,-1.210006800945031,180
