probe,condition,control_mode,protocol_id,seed,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,initial_trials,initial_response_probability,initial_reached_criterion,weight_erasure,path_erasure,residual_trace_correlation,post_behavior,trained_delta_norm,post_delta_norm,post_minus_trained_norm,baseline_weight_norm,reset_window_neuron_spikes,post_readout_neuron_spikes,homeostasis_rate,homeostasis_interval_ms,consolidation_s,consolidation_spikes,consolidation_weight_change_norm
stronger_protocols,expanded_protocol_family,reset,static_3s_20uA_threshold_probe,3,0.0,static,shared,3.0,20.0,160,1057,48,0.875,True,-0.35608005756216543,-0.5048400640957498,0.943351984475125,0.75,76.30150484186338,103.47094907939002,31.915324946470417,198.90535604574396,64970,1840,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,no_reset,static_3s_20uA_threshold_probe,3,0.0,static,shared,3.0,20.0,160,0,48,0.875,True,-1.2101533788339753,-1.209915293686611,0.9999836529884484,0.75,76.30150484186338,168.63802873857142,92.33718532616301,198.90535604574396,3538,1840,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,reset,chirp_10s_10uA,3,0.0,chirp,shared,10.0,10.0,160,10165,48,0.875,True,-0.8829210067906381,-0.9947434035896339,0.267498310506189,0.875,76.30150484186338,143.66970631836506,123.64756881485118,198.90535604574396,791101,1868,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,no_reset,chirp_10s_10uA,3,0.0,chirp,shared,10.0,10.0,160,0,48,0.875,True,-4.498030949046301,-4.73630703810499,0.8948487476811443,0.875,76.30150484186338,419.5080350848691,345.9442963542901,198.90535604574396,11922,1826,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,reset,gated_burst_10s_10uA,3,1.0,gated_burst,correlated,10.0,10.0,160,3259,48,0.875,True,-0.8261960665115424,-1.5260736993575872,0.7418015535616749,0.875,76.30150484186338,139.3415080129485,78.54641984531672,198.90535604574396,238416,1826,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,no_reset,gated_burst_10s_10uA,3,1.0,gated_burst,correlated,10.0,10.0,160,0,48,0.875,True,-4.498030949046301,-4.73630703810499,0.8948487476811443,0.875,76.30150484186338,419.5080350848691,345.9442963542901,198.90535604574396,11922,1826,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,reset,gated_burst_30s_10uA,3,1.0,gated_burst,correlated,30.0,10.0,160,7104,48,0.875,True,-2.3678439383847016,-3.0676612776302585,0.3995658503317165,0.5,76.30150484186338,256.9715605746684,211.5897866295935,198.90535604574396,860972,1777,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,no_reset,gated_burst_30s_10uA,3,1.0,gated_burst,correlated,30.0,10.0,160,0,48,0.875,True,-5.574427726237179,-5.917592078306163,0.6463488487333326,0.5,76.30150484186338,501.63872899254136,433.53100696556317,198.90535604574396,35617,1777,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,reset,static_3s_5uA,4,0.0,static,shared,3.0,5.0,160,896,48,0.875,True,-1.210006800945031,-1.21011318946463,0.9999828555476095,0.375,76.75862005574685,169.63707235656622,92.87913576941123,197.98112228231966,3504,1826,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,no_reset,static_3s_5uA,4,0.0,static,shared,3.0,5.0,160,0,48,0.875,True,-1.210006800945031,-1.21011318946463,0.9999828555476095,0.375,76.75862005574685,169.63707235656622,92.87913576941123,197.98112228231966,3504,1826,0.012,100.0,0.0,0,0.0
