probe,condition,protocol_id,replicates,duration_s,current_uA,schedule,weight_erasure_delta,post_behavior_delta,post_delta_norm_delta,post_minus_trained_norm_delta,residual_trace_correlation_delta,reset_window_neuron_spikes_delta,post_readout_neuron_spikes_delta,trained_delta_norm
baseline_representatives,criterion_0.875_max120,high_burden_3s,3,3.0,2.6,static,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.415272902742494
baseline_representatives,criterion_0.875_max120,low_burden_0.75s,3,0.75,0.8,epoch_pause,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.415272902742494
baseline_representatives,criterion_0.875_max120,mid_burden_1.5s,3,1.5,0.8,static,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.415272902742494
